subscription_id,user_id,service_id,billing_cycle_id,status_id,next_payment_date,auto_renew
65540,588,3,1,1,2022-08-18,True
28111,909,6,1,2,2018-10-15,True
41929,54,5,2,1,2020-09-05,False
86547,696,9,2,1,2019-02-23,False
82586,661,1,2,3,2019-11-21,False
38604,127,3,1,1,2020-01-08,False
91658,774,5,1,2,2019-04-06,False
62787,417,3,1,1,2018-10-26,False
84341,654,7,2,3,2020-10-05,True
39875,648,8,1,1,2022-03-06,False
78469,682,7,1,3,2021-04-05,True
31632,789,7,1,1,2020-02-21,False
14953,252,2,1,1,2020-09-04,False
39332,605,5,2,2,2022-03-18,False
48588,629,9,2,3,2022-03-04,True
83595,942,1,1,1,2018-09-01,True
41488,196,9,1,1,2019-02-09,False
39628,211,4,1,3,2018-09-26,False
87895,901,6,2,1,2021-01-01,True
26304,281,4,1,2,2020-06-03,False
67404,446,7,2,3,2018-10-20,True
98085,946,5,2,3,2023-04-08,False
95602,655,4,1,2,2021-06-06,True
5020,121,9,2,1,2018-11-20,True
5224,563,8,1,3,2020-07-06,True
15781,39,1,1,3,2019-01-14,True
45557,998,5,2,1,2020-10-16,False
12897,426,4,2,1,2020-11-14,False
34305,142,8,1,2,2020-01-31,False
93323,194,8,1,3,2022-12-25,False
5325,330,4,1,1,2020-07-06,True
52926,711,6,1,1,2019-03-02,False
62865,199,6,1,1,2020-11-30,False
8019,21,5,2,1,2022-05-20,False
82945,47,9,2,3,2019-05-07,False
90377,949,8,2,2,2019-10-15,False
41721,476,1,2,1,2020-03-01,False
867,504,2,2,1,2021-12-18,True
98444,826,1,1,1,2021-01-16,False
83040,870,8,1,3,2020-08-29,True
13925,73,2,1,3,2022-08-11,True
79893,964,8,1,2,2018-12-22,False
31184,104,6,1,1,2022-12-05,True
13800,795,6,2,2,2018-11-16,True
40989,897,9,1,2,2022-10-09,False
66734,549,3,1,2,2022-11-11,True
78331,288,5,1,1,2019-04-24,True
24379,846,5,2,2,2020-09-19,True
23415,116,6,2,2,2019-08-17,True
97560,839,3,1,1,2023-01-01,False
22993,324,3,2,3,2019-11-02,True
3232,886,7,1,2,2022-08-01,False
41996,775,7,1,1,2018-08-07,False
49188,270,6,2,1,2022-05-20,True
22515,324,9,1,1,2019-08-30,False
21326,559,8,1,2,2018-05-12,True
86234,727,1,2,2,2019-12-18,True
88127,551,9,1,2,2020-09-16,True
29824,599,6,1,2,2018-07-22,False
92485,207,4,1,2,2022-10-21,False
68425,602,1,1,2,2019-04-25,False
64484,480,9,1,1,2019-11-08,True
51020,194,9,2,3,2022-08-02,True
26754,293,9,2,1,2023-03-15,True
49964,819,3,2,2,2023-03-02,False
42732,547,4,1,3,2022-11-03,False
29057,27,6,2,1,2022-06-20,False
55318,640,5,1,1,2021-12-31,True
35497,160,6,2,3,2019-07-28,False
56338,647,4,2,2,2019-08-21,True
79278,890,8,1,3,2020-03-14,True
5465,11,6,1,3,2022-02-11,False
70156,576,7,1,3,2021-03-15,True
70670,534,1,2,3,2021-01-29,True
56014,834,8,1,2,2022-06-17,False
12086,322,5,2,1,2023-02-14,True
56819,905,6,2,2,2018-10-22,False
20001,111,1,1,3,2022-03-11,True
69067,359,1,2,1,2021-07-15,True
50453,669,3,2,2,2018-04-30,True
90710,838,3,1,1,2020-08-13,False
52885,387,2,2,1,2022-08-14,True
30964,851,1,1,2,2022-02-20,True
34574,953,8,1,2,2018-08-06,True
15295,183,1,2,1,2018-05-28,False
27919,826,7,1,1,2019-10-16,False
46121,237,3,1,1,2021-01-18,True
35074,445,8,1,1,2018-07-26,False
10551,937,9,2,3,2018-12-04,True
91128,139,2,2,1,2020-06-11,False
691,220,1,2,3,2019-11-17,True
77730,549,4,2,2,2022-02-26,False
36097,2,4,1,2,2022-12-02,True
65352,678,6,2,1,2021-09-07,False
11041,239,8,1,1,2021-10-10,True
4222,897,9,1,1,2020-04-26,True
822,237,3,2,2,2018-08-18,True
38129,938,7,2,3,2019-09-09,True
89152,5,1,2,3,2020-10-18,False
29232,538,4,1,1,2018-05-15,False
50557,14,5,2,1,2021-12-24,False
33685,712,7,1,2,2022-08-27,True
58754,539,9,1,3,2022-09-09,False
27023,995,9,1,1,2021-01-07,False
36906,148,2,1,3,2022-12-02,True
271,228,5,1,2,2022-11-16,False
8867,847,8,2,1,2019-11-10,True
15007,133,1,2,1,2019-01-25,False
4689,950,4,2,2,2021-01-18,False
81996,121,9,2,2,2020-03-31,False
84373,484,1,1,3,2021-09-13,True
2515,276,2,1,2,2020-12-25,False
36400,964,7,1,3,2023-02-17,True
38869,403,1,2,2,2022-12-01,False
58245,779,8,1,3,2019-08-24,True
30410,926,5,1,3,2021-07-25,True
54795,964,1,2,3,2021-08-12,True
19264,890,4,1,1,2020-02-09,True
83910,545,2,2,3,2018-11-04,False
26974,277,3,2,3,2021-03-15,False
7130,495,3,1,1,2022-11-10,True
7145,978,1,1,3,2019-02-11,False
45466,353,4,1,2,2023-02-18,False
1967,191,6,2,1,2019-09-09,False
15153,679,6,1,3,2018-11-24,True
19114,124,2,2,3,2022-03-15,True
76207,860,3,1,3,2022-01-03,False
32142,916,6,2,1,2019-07-27,False
21935,525,7,1,2,2023-02-05,True
40360,280,5,1,3,2022-12-28,False
53842,550,7,2,2,2020-01-30,False
9163,328,7,2,2,2023-04-16,True
87844,625,1,1,1,2021-11-18,True
37630,691,4,2,2,2018-07-29,True
83305,115,5,2,3,2023-02-16,False
66270,194,2,1,1,2018-07-02,True
34654,602,1,1,3,2019-01-09,True
41963,233,3,1,3,2019-10-27,False
39591,563,6,2,1,2021-04-10,False
81036,339,9,2,3,2020-11-03,True
10981,424,2,2,1,2019-11-11,False
56300,3,9,1,1,2021-05-17,False
61549,501,4,1,3,2019-08-02,False
88401,102,9,1,2,2018-09-29,True
44324,259,7,2,3,2021-02-08,False
55208,873,9,1,2,2022-08-15,True
53528,320,5,2,1,2020-09-29,False
26971,802,9,2,1,2020-08-23,True
73218,672,1,1,3,2023-01-30,False
65891,468,4,1,2,2021-01-13,False
42222,803,6,1,2,2021-04-07,True
97866,899,6,1,1,2021-04-29,True
12251,245,5,2,1,2020-06-03,False
69437,56,8,2,1,2020-12-10,False
38433,539,7,2,2,2020-11-01,False
40890,647,6,2,1,2021-07-24,False
30999,354,4,2,3,2023-03-16,False
56146,714,6,1,3,2022-12-01,True
95414,798,7,2,1,2022-10-21,False
22156,826,4,1,3,2023-03-21,True
17614,626,4,2,2,2020-04-15,False
56444,893,4,2,2,2022-04-11,True
98400,649,8,1,2,2020-10-31,False
24053,255,2,1,3,2019-10-19,False
50243,417,5,2,2,2022-12-08,False
58999,508,7,2,2,2018-05-27,False
31345,846,7,2,2,2019-01-30,True
61242,552,5,2,1,2020-11-29,True
92530,957,7,1,1,2020-05-09,False
80829,329,8,2,1,2021-11-03,True
51726,581,1,1,1,2019-07-06,True
33880,675,6,2,1,2021-04-08,False
83007,181,6,2,2,2020-06-13,False
73909,352,9,1,1,2018-11-13,False
67247,72,3,2,2,2022-01-05,True
88808,421,8,2,2,2019-08-16,False
13122,578,5,1,2,2019-01-15,True
8258,994,9,2,2,2019-06-11,True
93381,813,1,1,1,2020-08-13,False
13915,857,3,1,3,2021-03-02,True
30903,4,4,1,1,2023-02-12,True
72859,279,1,2,3,2018-06-22,False
20293,424,6,1,2,2020-06-23,False
58171,308,3,2,2,2022-03-31,True
20950,898,9,2,1,2021-05-14,False
36695,759,4,1,3,2022-04-20,True
8526,942,7,2,3,2019-06-06,False
78272,883,1,2,2,2018-09-23,True
77403,275,4,2,1,2018-10-29,False
77652,339,2,2,3,2019-09-19,True
99837,715,5,1,2,2019-03-17,True
92272,237,3,1,3,2020-02-25,True
29776,821,2,2,2,2019-09-14,False
34808,272,7,1,2,2021-02-18,True
16886,884,1,2,1,2018-07-23,True
49984,250,8,2,1,2019-12-06,True
62615,3,3,2,2,2022-11-29,True
14229,651,9,2,3,2022-10-13,True
52177,94,7,2,3,2018-11-15,True
8029,522,5,1,2,2022-01-21,True
28922,481,3,2,1,2022-05-10,True
69420,233,7,2,3,2018-08-04,False
70812,148,4,2,1,2019-08-26,False
34364,698,9,1,1,2023-03-29,True
43204,393,7,2,3,2020-03-13,True
36795,687,7,1,1,2022-06-12,False
97027,441,7,2,2,2020-02-05,True
63343,980,7,2,2,2019-01-09,True
36956,739,7,2,1,2020-03-09,False
69229,442,5,1,2,2020-05-18,False
9424,150,5,2,3,2020-12-21,False
86001,637,4,1,2,2019-12-08,True
16959,116,6,2,3,2018-10-20,True
21615,137,4,1,3,2020-07-19,True
61462,657,2,1,2,2022-11-27,True
61774,140,6,2,1,2020-08-30,True
86802,281,3,2,2,2021-09-13,True
67503,558,3,2,3,2022-03-16,True
79371,351,4,1,1,2018-09-21,False
34497,479,3,1,2,2021-03-04,True
43009,20,7,2,3,2021-02-23,True
91598,166,3,1,1,2022-11-26,False
75439,995,1,2,2,2020-11-09,True
29720,826,9,2,2,2023-03-15,True
38607,482,5,2,2,2019-08-06,False
77127,696,2,1,2,2020-02-26,False
97088,660,9,1,1,2019-02-14,False
24627,353,6,1,2,2020-07-09,True
61815,54,8,2,1,2019-02-11,False
69756,588,8,2,1,2021-02-25,True
11931,132,4,2,3,2020-11-27,False
16161,859,7,1,1,2020-02-08,False
47440,377,7,2,2,2020-01-06,True
34606,306,6,2,3,2019-10-03,True
14107,348,3,1,2,2021-04-16,True
90651,234,1,1,3,2019-07-19,True
98435,913,8,2,1,2019-07-01,False
17503,773,1,2,3,2020-11-17,False
63486,99,3,2,1,2022-06-26,True
33076,767,9,1,1,2020-10-10,True
79809,107,6,2,3,2019-10-07,False
90791,209,6,1,1,2020-06-13,False
93365,469,2,1,3,2019-05-11,True
18293,905,6,2,2,2019-04-16,True
43850,726,4,2,2,2019-03-16,False
35068,285,5,2,3,2022-05-07,False
61393,343,1,1,2,2018-06-08,False
27382,59,6,2,2,2021-02-02,True
85414,712,9,2,3,2020-11-15,True
13798,754,9,1,3,2020-03-06,True
1729,486,6,1,3,2023-02-27,False
66101,901,3,1,2,2022-01-11,False
7678,197,9,2,3,2019-05-21,False
73315,729,5,2,1,2022-09-02,False
69696,86,6,1,3,2021-02-16,True
5439,522,2,2,3,2018-08-23,False
73381,297,7,2,3,2018-11-29,True
34591,890,1,1,1,2019-07-21,False
8453,160,7,1,2,2018-11-10,False
6235,388,4,1,3,2019-07-18,False
56580,31,7,1,1,2021-04-30,True
44069,343,4,2,2,2021-11-12,True
73662,219,1,1,3,2019-03-16,True
18242,534,9,2,3,2019-03-08,False
72560,488,8,1,3,2021-08-31,False
11373,460,1,2,1,2019-06-23,False
53068,550,4,2,3,2018-06-19,False
54397,679,7,2,1,2022-11-19,False
60744,383,5,2,2,2022-10-08,True
4233,206,6,1,2,2019-03-30,True
66150,273,2,1,3,2022-07-25,False
227,188,2,1,1,2022-05-16,False
38051,660,9,1,1,2021-05-24,False
75831,674,8,2,1,2020-08-28,False
11713,135,2,1,2,2018-06-26,False
89799,856,7,1,2,2021-09-04,False
84722,740,9,2,1,2023-02-14,True
11651,367,9,1,3,2019-04-05,False
63793,417,5,1,1,2018-12-03,False
18332,376,6,2,3,2019-09-24,True
59465,596,9,1,2,2020-08-21,True
31839,804,5,2,2,2023-03-27,True
35888,450,9,2,3,2019-02-11,True
70558,101,3,2,3,2020-08-25,False
68842,630,2,2,3,2021-08-07,True
44300,626,4,1,3,2018-04-27,False
39432,962,6,2,3,2020-10-01,False
71758,376,9,2,1,2020-07-29,False
51267,366,6,2,1,2021-08-17,False
49809,549,6,2,1,2020-07-31,True
86689,484,3,2,2,2021-07-24,False
61005,772,8,2,2,2019-11-06,False
60771,75,9,1,3,2019-11-14,False
88,83,4,1,3,2020-07-09,True
77204,517,3,1,2,2020-04-20,True
51988,102,2,1,1,2023-04-25,True
82150,82,6,2,3,2022-01-05,True
43734,217,3,1,3,2019-10-20,True
95182,661,4,2,1,2018-07-27,True
88477,945,3,2,1,2022-07-22,False
62006,186,4,2,1,2022-02-28,True
30884,890,4,1,2,2022-10-06,True
50767,827,7,2,1,2022-04-11,True
74956,760,8,2,3,2023-04-13,False
12751,912,2,1,3,2020-02-05,False
36507,869,5,2,1,2019-06-11,False
9938,272,2,2,2,2019-02-10,False
18374,587,3,2,3,2021-03-06,True
92221,516,5,2,3,2020-03-19,False
90730,580,3,1,1,2021-11-23,False
12397,700,3,2,2,2018-09-25,True
94922,654,5,2,1,2022-04-20,False
33802,609,4,1,1,2021-08-19,True
1231,149,7,1,2,2018-12-26,False
20335,480,2,1,2,2023-04-01,False
78044,74,7,2,2,2021-02-25,False
40351,658,7,1,2,2021-06-11,False
50863,712,9,1,2,2023-01-28,True
65410,270,2,2,1,2018-06-12,True
98466,608,6,1,3,2020-08-04,True
83943,855,6,1,1,2019-04-09,True
35641,715,8,1,3,2021-01-16,False
76610,951,9,2,2,2019-09-11,True
1046,665,7,1,2,2020-12-05,False
97796,691,3,1,1,2021-12-28,True
5938,964,6,2,3,2019-01-24,False
57688,117,7,2,2,2020-06-20,True
7896,502,2,2,3,2020-02-26,True
87485,609,3,1,3,2019-04-07,False
17571,949,3,1,2,2022-02-25,True
53065,774,4,2,3,2021-02-07,True
11142,988,6,1,1,2022-03-14,True
96937,651,7,2,2,2018-10-02,False
50491,17,7,2,3,2020-06-28,False
33223,559,1,2,2,2020-07-28,True
82507,922,1,2,1,2020-08-05,True
36297,626,6,1,3,2021-08-17,False
67925,210,2,2,3,2018-04-30,True
94405,737,1,1,2,2019-04-12,True
84993,755,5,1,2,2021-11-12,False
62123,502,8,2,2,2019-10-10,True
65744,55,2,1,3,2021-04-19,True
40247,148,1,1,1,2019-02-15,False
16362,5,7,2,3,2022-09-07,True
55939,554,3,2,1,2022-11-25,True
28675,109,6,1,2,2021-03-30,False
23958,234,7,1,3,2018-09-14,True
7859,580,6,2,2,2021-06-03,False
94213,807,5,2,3,2021-01-02,False
63352,275,4,2,1,2019-01-13,True
50199,221,3,1,2,2020-07-31,True
55239,77,6,2,1,2022-03-09,False
98341,695,4,1,2,2018-09-07,False
13706,467,6,2,2,2019-12-16,False
13580,446,2,1,2,2023-01-13,False
34571,344,4,1,2,2021-08-13,True
93622,145,3,2,2,2021-04-05,True
2105,885,8,2,2,2022-07-25,False
74361,123,5,2,3,2018-09-02,True
85889,736,6,2,2,2021-07-26,True
99907,237,9,2,1,2020-07-07,False
56430,85,7,1,1,2022-04-04,False
86503,776,9,2,1,2022-11-30,True
12470,343,9,2,3,2021-09-19,False
14779,102,9,1,3,2021-02-01,True
27544,892,4,1,1,2019-06-11,False
97977,688,9,1,1,2023-04-07,True
46123,38,8,2,3,2023-04-14,False
49369,800,1,1,2,2020-10-16,True
1333,684,6,2,1,2020-06-23,False
2361,556,2,2,1,2022-03-05,True
82418,2,7,2,1,2018-08-07,True
45149,553,4,1,1,2022-10-11,False
7842,378,8,2,1,2020-01-07,True
86291,481,2,1,2,2022-07-22,False
36035,495,2,1,2,2022-04-20,False
18146,13,4,2,2,2019-10-25,True
70746,856,1,1,3,2021-07-16,False
78804,949,6,1,1,2020-01-26,True
94236,772,1,1,3,2018-07-06,False
52491,632,2,1,2,2021-08-10,False
88895,435,2,2,2,2022-09-01,True
59269,846,8,2,2,2019-07-20,False
19663,381,2,2,3,2018-06-27,True
49826,863,8,1,3,2019-04-28,False
1323,745,6,1,2,2019-04-22,True
37624,978,3,1,3,2021-09-09,True
20087,392,6,2,3,2021-07-23,False
88366,382,6,2,3,2019-08-19,False
92896,29,2,1,3,2022-05-30,False
69588,71,2,2,2,2023-01-04,False
26587,346,4,1,1,2019-08-29,True
39879,300,4,2,3,2022-12-25,True
75299,732,7,2,2,2022-06-16,True
53979,241,4,2,2,2022-07-23,False
49674,271,3,1,1,2021-01-12,False
75962,626,8,1,3,2020-07-26,False
25356,226,1,2,3,2018-09-22,True
27734,358,4,1,2,2018-07-08,False
18006,145,6,2,2,2022-09-26,False
22673,469,1,2,3,2020-04-19,False
50381,787,4,2,3,2018-06-30,False
59039,792,4,2,3,2023-04-15,True
43445,364,1,1,3,2022-02-27,False
2281,392,7,2,2,2020-06-24,True
77965,84,4,1,1,2020-04-21,False
96126,773,8,1,3,2018-05-20,False
77648,424,5,1,2,2020-08-30,True
31432,70,8,2,3,2019-11-23,True
31923,213,6,2,2,2018-10-02,False
15809,907,1,2,3,2020-04-29,True
85542,678,6,2,3,2019-06-06,True
15496,748,2,2,1,2021-07-10,True
77432,588,7,1,3,2021-03-22,False
57937,72,4,2,2,2022-05-11,True
18950,210,3,2,3,2019-12-29,False
22584,816,6,2,2,2021-02-26,True
6749,758,4,1,1,2022-07-21,False
80574,74,3,2,3,2021-09-27,True
53071,493,9,1,3,2021-09-20,True
1403,759,7,1,3,2018-10-11,True
37782,844,7,2,1,2020-03-28,True
64680,324,1,2,2,2020-07-25,True
79961,398,4,2,2,2021-12-19,True
23788,385,8,2,1,2019-08-28,False
30419,673,6,1,2,2018-12-08,True
59035,318,4,1,2,2021-06-11,False
20331,229,6,2,2,2021-04-02,True
95653,961,7,1,1,2020-12-17,False
884,336,8,2,3,2018-06-04,True
41516,690,8,1,3,2020-07-06,False
14039,255,2,1,2,2020-10-15,False
44970,140,9,1,3,2021-03-25,False
32866,804,6,1,2,2022-01-03,False
79369,700,8,2,1,2020-02-23,True
3254,593,9,2,2,2022-02-03,True
2938,947,2,1,3,2018-09-05,True
36839,308,1,2,1,2018-11-05,False
25040,439,1,2,1,2022-01-23,True
23395,206,8,1,1,2022-04-18,False
81993,483,9,1,1,2022-02-25,False
56294,91,2,1,1,2019-11-09,True
1319,376,6,1,1,2018-10-02,True
95285,919,9,1,2,2019-02-17,False
32593,316,7,1,1,2018-07-13,False
86254,249,8,1,2,2020-08-21,False
79995,940,6,2,1,2020-05-20,False
63781,650,8,1,2,2018-10-27,False
37109,774,2,2,1,2022-10-24,True
1350,658,3,1,1,2018-07-24,True
4791,136,9,2,2,2020-03-03,True
96595,108,5,2,3,2018-09-30,False
87445,762,8,1,1,2021-04-03,True
87608,959,9,2,2,2021-07-31,True
84334,459,9,1,2,2020-12-18,True
58135,393,8,2,2,2020-11-20,False
18635,376,9,2,2,2018-07-18,True
3394,257,9,2,2,2019-08-17,False
72229,650,4,2,2,2019-11-25,True
37588,484,7,2,2,2019-07-06,True
11447,324,5,2,1,2019-11-28,False
92169,640,8,1,2,2021-05-11,False
33055,156,4,1,2,2019-04-04,False
93269,156,5,1,1,2019-08-13,False
59809,210,5,2,2,2023-04-05,False
61578,478,7,2,3,2019-02-27,True
49661,964,4,2,2,2021-09-16,False
11061,412,1,1,1,2022-07-15,True
1551,792,9,2,3,2020-12-14,True
80751,4,2,2,2,2023-03-22,False
4511,339,7,1,3,2021-04-18,False
26439,512,8,2,1,2019-05-30,False
86709,344,8,2,1,2020-11-03,True
83004,814,5,1,1,2018-10-11,True
80167,479,6,1,3,2019-05-17,False
48079,816,9,2,2,2019-02-16,True
16302,111,1,2,2,2020-12-10,True
17495,860,9,2,1,2020-02-13,False
85699,231,1,1,2,2020-01-28,True
61706,91,6,1,1,2020-04-07,True
49149,322,6,1,2,2019-11-20,False
70173,725,3,1,3,2020-08-03,True
96223,294,6,1,1,2021-03-14,True
52413,134,9,1,2,2018-08-02,True
97494,621,4,1,3,2018-10-22,True
9094,100,3,1,2,2020-01-22,False
6268,313,6,2,2,2020-04-05,False
81824,349,2,2,2,2019-05-19,False
40204,694,4,2,1,2019-01-21,True
69326,919,7,1,3,2023-01-15,True
57863,814,4,2,3,2018-05-20,False
52992,960,5,1,1,2021-03-08,False
89246,34,6,1,2,2021-10-07,False
26874,645,5,2,3,2020-05-03,False
62597,739,9,2,2,2019-11-13,False
47746,916,3,1,1,2018-10-14,False
40991,459,4,2,1,2023-01-16,False
13929,91,5,2,3,2022-05-10,True
94954,326,3,2,1,2018-08-17,False
18743,73,5,1,3,2022-01-05,False
1058,459,8,2,1,2022-08-26,False
4338,327,6,2,3,2018-06-28,True
34171,356,8,1,1,2018-05-16,True
96506,877,1,2,2,2020-04-06,False
2030,875,5,1,3,2018-10-07,False
1431,763,3,1,1,2021-04-09,True
35084,331,9,1,3,2021-03-19,True
33932,381,4,2,1,2022-03-09,False
55376,365,2,1,1,2021-06-02,False
22825,565,7,2,2,2019-07-05,True
73647,651,2,1,3,2018-09-16,False
25270,369,3,2,2,2023-03-30,False
64035,421,7,2,1,2019-02-21,False
14806,926,4,2,3,2020-01-17,False
60298,280,9,1,3,2020-06-21,False
50079,616,7,1,3,2021-01-08,True
31592,208,4,2,2,2022-06-30,True
586,442,8,2,2,2023-03-25,False
36905,545,7,2,3,2023-01-22,False
21333,629,7,1,2,2019-04-08,True
39457,651,8,1,1,2021-09-17,True
12534,853,6,1,3,2019-09-25,True
40816,681,3,1,2,2019-03-11,True
68317,325,3,2,2,2023-03-03,True
42918,133,2,2,2,2021-05-10,False
5216,150,8,1,2,2022-12-28,False
83013,838,6,1,3,2020-05-25,True
40200,443,4,2,2,2018-11-11,False
64274,494,7,1,1,2022-12-01,False
88544,943,7,1,1,2019-02-04,False
834,83,8,1,3,2019-04-02,False
41273,902,4,1,1,2021-10-03,True
79343,56,2,1,1,2018-12-18,False
35016,878,5,2,1,2021-02-23,True
66703,101,7,2,3,2021-07-09,False
65644,600,8,2,1,2021-09-22,False
18486,425,9,2,1,2019-12-24,False
33334,225,5,1,1,2019-09-18,True
13552,429,6,1,3,2021-08-01,False
95261,99,3,1,1,2020-10-01,False
17673,582,3,1,3,2022-12-29,False
23146,979,9,1,1,2018-08-13,True
61130,631,3,1,1,2020-02-06,True
69841,271,2,2,1,2022-01-06,False
96987,145,7,1,1,2019-08-19,False
35754,548,1,1,3,2019-08-31,True
33460,793,3,2,3,2020-02-10,True
14269,190,8,1,2,2018-12-01,True
22187,321,1,2,2,2020-04-03,True
15023,566,4,1,1,2020-04-19,False
11969,312,4,1,2,2020-09-25,False
28566,369,7,2,3,2019-04-23,True
25842,782,5,1,2,2021-02-18,True
279,107,5,2,1,2022-09-19,True
76183,35,3,1,3,2023-02-11,True
6149,761,3,1,3,2019-10-10,False
61297,879,9,2,2,2023-01-08,True
77960,424,2,1,2,2019-11-30,True
14150,872,5,2,3,2022-02-25,False
47140,960,1,2,2,2022-03-17,True
29518,313,2,1,3,2020-02-23,False
10050,206,4,1,1,2020-05-15,False
53346,918,9,2,3,2022-09-03,False
75310,641,7,2,1,2021-01-26,False
20613,177,4,2,3,2019-06-26,False
34287,574,6,2,2,2021-03-14,True
59397,794,3,1,1,2019-04-04,False
38721,872,7,2,2,2021-10-06,False
31121,298,9,2,3,2019-05-13,False
46500,272,7,2,1,2020-08-15,False
31419,46,6,1,2,2018-06-18,False
1573,299,7,1,2,2021-08-31,False
78057,388,5,1,3,2022-06-12,True
53084,615,6,2,3,2020-07-25,True
27806,619,6,2,1,2023-01-05,True
96811,44,8,1,2,2021-10-01,True
97650,809,2,1,1,2019-10-12,True
15843,76,2,2,1,2020-07-16,True
52853,984,3,1,2,2023-02-10,True
50138,723,7,1,2,2019-09-09,False
