amount,date,subscription_id,user_id,service_id,billing_cycle_id,status_id,next_payment_date,auto_renew
7079.16,2019-02-24,15603,352,2,1,1,2019-03-26,False
6073.26,2021-06-06,28534,43,8,1,3,2021-07-06,True
1198.61,2018-05-22,69770,380,7,2,1,2018-06-21,True
4652.24,2019-04-08,11406,440,2,1,3,2019-05-08,False
2796.22,2021-05-17,96853,764,8,1,3,2021-06-16,True
6457.55,2018-11-17,16131,53,3,2,3,2018-12-17,False
415.43,2022-02-09,19793,730,2,2,1,2022-03-11,True
7440.13,2019-10-28,89578,891,5,1,1,2019-11-27,True
3898.96,2020-03-08,40164,585,4,2,2,2020-04-07,False
636.04,2022-02-02,31777,267,9,1,1,2022-03-04,True
942.2,2023-03-08,25331,330,3,2,1,2023-04-07,False
754.26,2018-10-03,79157,562,2,2,3,2018-11-02,True
8037.04,2022-07-19,51686,836,8,2,2,2022-08-18,True
9413.3,2020-11-15,75499,220,9,1,2,2020-12-15,True
6979.12,2022-11-24,4728,424,5,1,1,2022-12-24,False
8179.64,2020-04-03,85199,806,6,2,2,2020-05-03,True
3642.53,2020-03-04,35796,226,7,1,3,2020-04-03,False
9399.63,2018-11-19,12257,757,4,1,3,2018-12-19,True
473.02,2021-02-27,35719,275,5,2,3,2021-03-29,True
1755.23,2020-07-19,70552,381,2,1,2,2020-08-18,False
9637.27,2023-01-04,54375,300,6,1,1,2023-02-03,False
7092.6,2018-06-06,39692,9,6,2,1,2018-07-06,True
1051.07,2022-09-29,93703,641,1,1,3,2022-10-29,False
7513.75,2022-06-09,73692,800,5,1,3,2022-07-09,True
726.67,2018-06-10,98071,372,6,2,1,2018-07-10,True
2196.06,2021-05-30,576,437,9,2,2,2021-06-29,True
1545.94,2018-03-30,84611,363,6,1,3,2018-04-29,True
9527.34,2022-08-24,61770,665,9,1,3,2022-09-23,True
5082.2,2022-12-04,32261,453,3,2,3,2023-01-03,True
777.98,2022-05-11,82200,659,7,2,1,2022-06-10,False
5540.33,2022-12-07,36291,538,9,1,3,2023-01-06,True
7052.59,2020-09-10,78450,376,7,1,1,2020-10-10,False
2889.52,2019-11-18,60056,704,7,1,2,2019-12-18,True
9779.59,2020-08-11,45949,614,1,2,1,2020-09-10,False
4257.13,2019-05-19,28178,946,7,2,1,2019-06-18,True
6319.83,2021-11-16,84464,833,7,1,3,2021-12-16,True
7795.74,2018-10-28,579,132,4,2,1,2018-11-27,False
8192.13,2020-03-11,30960,357,4,2,3,2020-04-10,False
715.94,2022-12-19,64291,645,1,2,3,2023-01-18,False
6265.02,2020-01-18,14532,646,3,2,1,2020-02-17,True
1480.46,2022-09-22,17934,909,1,2,2,2022-10-22,False
7859.51,2022-07-27,33609,143,1,1,2,2022-08-26,True
6039.83,2019-02-23,49960,214,8,2,1,2019-03-25,False
5458.16,2019-06-09,66599,187,6,1,1,2019-07-09,True
6831.2,2018-11-01,99090,700,8,2,3,2018-12-01,True
7491.22,2019-05-27,34452,127,5,1,3,2019-06-26,True
8574.98,2021-12-11,34081,731,7,2,1,2022-01-10,True
9295.08,2018-10-01,63588,798,8,2,3,2018-10-31,True
319.5,2018-12-21,4294,83,7,1,2,2019-01-20,True
6581.15,2022-12-12,69103,827,1,1,3,2023-01-11,True
5416.92,2020-05-19,86412,493,3,1,3,2020-06-18,False
9270.04,2023-03-01,99477,520,7,1,3,2023-03-31,False
1093.28,2020-12-30,53930,369,6,1,1,2021-01-29,False
2812.67,2021-03-18,87071,478,3,1,1,2021-04-17,False
4901.43,2020-10-12,65084,893,1,2,3,2020-11-11,False
245.16,2018-05-29,30713,908,8,1,1,2018-06-28,True
3949.17,2020-05-21,49183,505,7,1,2,2020-06-20,True
2578.51,2022-08-14,57235,371,5,2,3,2022-09-13,True
1130.88,2020-02-02,15664,941,3,1,2,2020-03-03,False
1927.08,2018-06-03,19967,846,1,2,3,2018-07-03,False
2785.36,2021-05-20,91913,331,3,1,1,2021-06-19,False
7809.4,2022-02-25,91958,751,2,2,1,2022-03-27,False
4426.9,2023-01-26,81347,552,7,2,1,2023-02-25,False
2746.85,2018-08-10,55326,692,1,1,2,2018-09-09,True
3005.56,2019-05-12,29858,530,9,2,2,2019-06-11,True
6756.09,2020-01-06,71223,682,2,2,1,2020-02-05,True
7078.47,2023-01-06,52459,135,6,1,2,2023-02-05,True
6448.11,2021-05-09,88346,646,1,2,1,2021-06-08,True
1572.59,2021-09-06,82364,241,6,2,1,2021-10-06,False
1640.47,2019-04-29,65350,664,3,2,1,2019-05-29,False
7951.9,2018-04-13,59650,794,1,2,1,2018-05-13,False
7349.1,2020-02-03,44953,583,3,1,1,2020-03-04,False
8837.26,2021-04-15,39526,543,8,2,3,2021-05-15,True
5591.83,2022-11-12,13936,335,1,1,1,2022-12-12,False
2797.94,2019-08-03,93781,126,6,1,2,2019-09-02,True
9034.7,2020-11-26,89885,944,1,2,3,2020-12-26,True
7247.53,2019-10-29,81144,906,9,1,2,2019-11-28,False
9775.26,2019-02-09,95800,284,1,2,1,2019-03-11,False
4643.44,2020-09-01,89405,623,2,2,2,2020-10-01,False
7219.39,2021-02-25,55224,587,5,2,3,2021-03-27,True
9932.79,2019-04-23,73646,550,4,1,1,2019-05-23,False
8033.76,2020-10-28,66294,184,8,2,1,2020-11-27,False
7130.82,2022-07-19,65540,588,3,1,1,2022-08-18,True
2952.92,2018-09-15,28111,909,6,1,2,2018-10-15,True
6446.03,2020-08-06,41929,54,5,2,1,2020-09-05,False
7176.7,2019-01-24,86547,696,9,2,1,2019-02-23,False
6992.64,2019-10-22,82586,661,1,2,3,2019-11-21,False
4983.89,2019-12-09,38604,127,3,1,1,2020-01-08,False
8401.26,2019-03-07,91658,774,5,1,2,2019-04-06,False
6217.16,2018-09-26,62787,417,3,1,1,2018-10-26,False
4060.8,2020-09-05,84341,654,7,2,3,2020-10-05,True
4099.85,2022-02-04,39875,648,8,1,1,2022-03-06,False
443.55,2021-03-06,78469,682,7,1,3,2021-04-05,True
7234.75,2020-01-22,31632,789,7,1,1,2020-02-21,False
7411.37,2020-08-05,14953,252,2,1,1,2020-09-04,False
6498.77,2022-02-16,39332,605,5,2,2,2022-03-18,False
2247.35,2022-02-02,48588,629,9,2,3,2022-03-04,True
830.27,2018-08-02,83595,942,1,1,1,2018-09-01,True
5170.33,2019-01-10,41488,196,9,1,1,2019-02-09,False
9906.06,2018-08-27,39628,211,4,1,3,2018-09-26,False
4622.09,2020-12-02,87895,901,6,2,1,2021-01-01,True
4157.19,2020-05-04,26304,281,4,1,2,2020-06-03,False
9830.87,2018-09-20,67404,446,7,2,3,2018-10-20,True
2296.88,2023-03-09,98085,946,5,2,3,2023-04-08,False
4435.28,2021-05-07,95602,655,4,1,2,2021-06-06,True
8189.92,2018-10-21,5020,121,9,2,1,2018-11-20,True
4487.1,2020-06-06,5224,563,8,1,3,2020-07-06,True
8312.55,2018-12-15,15781,39,1,1,3,2019-01-14,True
7439.93,2020-09-16,45557,998,5,2,1,2020-10-16,False
1364.24,2020-10-15,12897,426,4,2,1,2020-11-14,False
5189.67,2020-01-01,34305,142,8,1,2,2020-01-31,False
4097.02,2022-11-25,93323,194,8,1,3,2022-12-25,False
1030.95,2020-06-06,5325,330,4,1,1,2020-07-06,True
5477.62,2019-01-31,52926,711,6,1,1,2019-03-02,False
1193.39,2020-10-31,62865,199,6,1,1,2020-11-30,False
8223.17,2022-04-20,8019,21,5,2,1,2022-05-20,False
2054.53,2019-04-07,82945,47,9,2,3,2019-05-07,False
8353.12,2019-09-15,90377,949,8,2,2,2019-10-15,False
9939.9,2020-01-31,41721,476,1,2,1,2020-03-01,False
4494.35,2021-11-18,867,504,2,2,1,2021-12-18,True
8324.54,2020-12-17,98444,826,1,1,1,2021-01-16,False
4608.91,2020-07-30,83040,870,8,1,3,2020-08-29,True
7410.93,2022-07-12,13925,73,2,1,3,2022-08-11,True
9605.93,2018-11-22,79893,964,8,1,2,2018-12-22,False
5269.13,2022-11-05,31184,104,6,1,1,2022-12-05,True
583.21,2018-10-17,13800,795,6,2,2,2018-11-16,True
5071.42,2022-09-09,40989,897,9,1,2,2022-10-09,False
2185.11,2022-10-12,66734,549,3,1,2,2022-11-11,True
4219.55,2019-03-25,78331,288,5,1,1,2019-04-24,True
5397.72,2020-08-20,24379,846,5,2,2,2020-09-19,True
7536.51,2019-07-18,23415,116,6,2,2,2019-08-17,True
6425.01,2022-12-02,97560,839,3,1,1,2023-01-01,False
4221.42,2019-10-03,22993,324,3,2,3,2019-11-02,True
8748.64,2022-07-02,3232,886,7,1,2,2022-08-01,False
2020.26,2018-07-08,41996,775,7,1,1,2018-08-07,False
1289.39,2022-04-20,49188,270,6,2,1,2022-05-20,True
6391.79,2019-07-31,22515,324,9,1,1,2019-08-30,False
3543.32,2018-04-12,21326,559,8,1,2,2018-05-12,True
415.53,2019-11-18,86234,727,1,2,2,2019-12-18,True
9806.35,2020-08-17,88127,551,9,1,2,2020-09-16,True
8606.3,2018-06-22,29824,599,6,1,2,2018-07-22,False
5151.66,2022-09-21,92485,207,4,1,2,2022-10-21,False
8784.09,2019-03-26,68425,602,1,1,2,2019-04-25,False
1388.66,2019-10-09,64484,480,9,1,1,2019-11-08,True
1449.75,2022-07-03,51020,194,9,2,3,2022-08-02,True
2748.36,2023-02-13,26754,293,9,2,1,2023-03-15,True
3671.29,2023-01-31,49964,819,3,2,2,2023-03-02,False
3859.98,2022-10-04,42732,547,4,1,3,2022-11-03,False
5810.39,2022-05-21,29057,27,6,2,1,2022-06-20,False
1841.22,2021-12-01,55318,640,5,1,1,2021-12-31,True
9343.66,2019-06-28,35497,160,6,2,3,2019-07-28,False
8090.04,2019-07-22,56338,647,4,2,2,2019-08-21,True
524.21,2020-02-13,79278,890,8,1,3,2020-03-14,True
9231.92,2022-01-12,5465,11,6,1,3,2022-02-11,False
8118.9,2021-02-13,70156,576,7,1,3,2021-03-15,True
9914.26,2020-12-30,70670,534,1,2,3,2021-01-29,True
4536.7,2022-05-18,56014,834,8,1,2,2022-06-17,False
3956.86,2023-01-15,12086,322,5,2,1,2023-02-14,True
5420.41,2018-09-22,56819,905,6,2,2,2018-10-22,False
4576.32,2022-02-09,20001,111,1,1,3,2022-03-11,True
9201.53,2021-06-15,69067,359,1,2,1,2021-07-15,True
1553.81,2018-03-31,50453,669,3,2,2,2018-04-30,True
5583.84,2020-07-14,90710,838,3,1,1,2020-08-13,False
4221.77,2022-07-15,52885,387,2,2,1,2022-08-14,True
1930.07,2022-01-21,30964,851,1,1,2,2022-02-20,True
8899.75,2018-07-07,34574,953,8,1,2,2018-08-06,True
4139.07,2018-04-28,15295,183,1,2,1,2018-05-28,False
5173.29,2019-09-16,27919,826,7,1,1,2019-10-16,False
1532.11,2020-12-19,46121,237,3,1,1,2021-01-18,True
7782.38,2018-06-26,35074,445,8,1,1,2018-07-26,False
5404.55,2018-11-04,10551,937,9,2,3,2018-12-04,True
9272.94,2020-05-12,91128,139,2,2,1,2020-06-11,False
443.14,2019-10-18,691,220,1,2,3,2019-11-17,True
5047.51,2022-01-27,77730,549,4,2,2,2022-02-26,False
1680.01,2022-11-02,36097,2,4,1,2,2022-12-02,True
6024.23,2021-08-08,65352,678,6,2,1,2021-09-07,False
1345.2,2021-09-10,11041,239,8,1,1,2021-10-10,True
3738.98,2020-03-27,4222,897,9,1,1,2020-04-26,True
1195.5,2018-07-19,822,237,3,2,2,2018-08-18,True
7975.35,2019-08-10,38129,938,7,2,3,2019-09-09,True
7249.72,2020-09-18,89152,5,1,2,3,2020-10-18,False
1840.49,2018-04-15,29232,538,4,1,1,2018-05-15,False
6268.4,2021-11-24,50557,14,5,2,1,2021-12-24,False
8529.18,2022-07-28,33685,712,7,1,2,2022-08-27,True
5040.75,2022-08-10,58754,539,9,1,3,2022-09-09,False
894.9,2020-12-08,27023,995,9,1,1,2021-01-07,False
7310.77,2022-11-02,36906,148,2,1,3,2022-12-02,True
7190.84,2022-10-17,271,228,5,1,2,2022-11-16,False
2016.29,2019-10-11,8867,847,8,2,1,2019-11-10,True
7472.06,2018-12-26,15007,133,1,2,1,2019-01-25,False
5736.03,2020-12-19,4689,950,4,2,2,2021-01-18,False
2589.34,2020-03-01,81996,121,9,2,2,2020-03-31,False
3641.86,2021-08-14,84373,484,1,1,3,2021-09-13,True
5693.07,2020-11-25,2515,276,2,1,2,2020-12-25,False
9614.29,2023-01-18,36400,964,7,1,3,2023-02-17,True
8072.4,2022-11-01,38869,403,1,2,2,2022-12-01,False
1406.49,2019-07-25,58245,779,8,1,3,2019-08-24,True
9423.24,2021-06-25,30410,926,5,1,3,2021-07-25,True
9315.47,2021-07-13,54795,964,1,2,3,2021-08-12,True
2578.86,2020-01-10,19264,890,4,1,1,2020-02-09,True
5573.56,2018-10-05,83910,545,2,2,3,2018-11-04,False
6594.52,2021-02-13,26974,277,3,2,3,2021-03-15,False
3285.8,2022-10-11,7130,495,3,1,1,2022-11-10,True
3493.3,2019-01-12,7145,978,1,1,3,2019-02-11,False
6743.78,2023-01-19,45466,353,4,1,2,2023-02-18,False
3698.23,2019-08-10,1967,191,6,2,1,2019-09-09,False
3701.34,2018-10-25,15153,679,6,1,3,2018-11-24,True
1540.7,2022-02-13,19114,124,2,2,3,2022-03-15,True
2705.43,2021-12-04,76207,860,3,1,3,2022-01-03,False
1791.8,2019-06-27,32142,916,6,2,1,2019-07-27,False
9163.63,2023-01-06,21935,525,7,1,2,2023-02-05,True
7540.76,2022-11-28,40360,280,5,1,3,2022-12-28,False
4034.13,2019-12-31,53842,550,7,2,2,2020-01-30,False
6858.39,2023-03-17,9163,328,7,2,2,2023-04-16,True
2677.66,2021-10-19,87844,625,1,1,1,2021-11-18,True
196.14,2018-06-29,37630,691,4,2,2,2018-07-29,True
9850.79,2023-01-17,83305,115,5,2,3,2023-02-16,False
2679.59,2018-06-02,66270,194,2,1,1,2018-07-02,True
9776.64,2018-12-10,34654,602,1,1,3,2019-01-09,True
1536.91,2019-09-27,41963,233,3,1,3,2019-10-27,False
569.83,2021-03-11,39591,563,6,2,1,2021-04-10,False
3192.76,2020-10-04,81036,339,9,2,3,2020-11-03,True
1607.11,2019-10-12,10981,424,2,2,1,2019-11-11,False
1349.17,2021-04-17,56300,3,9,1,1,2021-05-17,False
9761.43,2019-07-03,61549,501,4,1,3,2019-08-02,False
4629.16,2018-08-30,88401,102,9,1,2,2018-09-29,True
5447.38,2021-01-09,44324,259,7,2,3,2021-02-08,False
2877.4,2022-07-16,55208,873,9,1,2,2022-08-15,True
329.78,2020-08-30,53528,320,5,2,1,2020-09-29,False
5510.57,2020-07-24,26971,802,9,2,1,2020-08-23,True
6649.61,2022-12-31,73218,672,1,1,3,2023-01-30,False
1371.48,2020-12-14,65891,468,4,1,2,2021-01-13,False
7703.92,2021-03-08,42222,803,6,1,2,2021-04-07,True
7090.83,2021-03-30,97866,899,6,1,1,2021-04-29,True
5602.64,2020-05-04,12251,245,5,2,1,2020-06-03,False
1515.12,2020-11-10,69437,56,8,2,1,2020-12-10,False
6254.57,2020-10-02,38433,539,7,2,2,2020-11-01,False
8754.5,2021-06-24,40890,647,6,2,1,2021-07-24,False
8232.16,2023-02-14,30999,354,4,2,3,2023-03-16,False
2361.75,2022-11-01,56146,714,6,1,3,2022-12-01,True
8286.72,2022-09-21,95414,798,7,2,1,2022-10-21,False
9571.07,2023-02-19,22156,826,4,1,3,2023-03-21,True
3574.16,2020-03-16,17614,626,4,2,2,2020-04-15,False
2422.28,2022-03-12,56444,893,4,2,2,2022-04-11,True
6159.41,2020-10-01,98400,649,8,1,2,2020-10-31,False
3628.09,2019-09-19,24053,255,2,1,3,2019-10-19,False
3493.79,2022-11-08,50243,417,5,2,2,2022-12-08,False
2202.73,2018-04-27,58999,508,7,2,2,2018-05-27,False
3252.18,2018-12-31,31345,846,7,2,2,2019-01-30,True
4705.57,2020-10-30,61242,552,5,2,1,2020-11-29,True
6561.75,2020-04-09,92530,957,7,1,1,2020-05-09,False
7848.11,2021-10-04,80829,329,8,2,1,2021-11-03,True
5861.67,2019-06-06,51726,581,1,1,1,2019-07-06,True
2891.29,2021-03-09,33880,675,6,2,1,2021-04-08,False
6325.5,2020-05-14,83007,181,6,2,2,2020-06-13,False
3512.32,2018-10-14,73909,352,9,1,1,2018-11-13,False
7022.51,2021-12-06,67247,72,3,2,2,2022-01-05,True
7458.79,2019-07-17,88808,421,8,2,2,2019-08-16,False
900.73,2018-12-16,13122,578,5,1,2,2019-01-15,True
447.52,2019-05-12,8258,994,9,2,2,2019-06-11,True
5749.71,2020-07-14,93381,813,1,1,1,2020-08-13,False
6120.47,2021-01-31,13915,857,3,1,3,2021-03-02,True
1680.42,2023-01-13,30903,4,4,1,1,2023-02-12,True
4386.34,2018-05-23,72859,279,1,2,3,2018-06-22,False
2507.08,2020-05-24,20293,424,6,1,2,2020-06-23,False
6287.4,2022-03-01,58171,308,3,2,2,2022-03-31,True
6970.61,2021-04-14,20950,898,9,2,1,2021-05-14,False
8932.25,2022-03-21,36695,759,4,1,3,2022-04-20,True
2259.14,2019-05-07,8526,942,7,2,3,2019-06-06,False
4485.94,2018-08-24,78272,883,1,2,2,2018-09-23,True
3334.88,2018-09-29,77403,275,4,2,1,2018-10-29,False
8598.36,2019-08-20,77652,339,2,2,3,2019-09-19,True
4324.39,2019-02-15,99837,715,5,1,2,2019-03-17,True
3743.06,2020-01-26,92272,237,3,1,3,2020-02-25,True
8269.67,2019-08-15,29776,821,2,2,2,2019-09-14,False
7460.82,2021-01-19,34808,272,7,1,2,2021-02-18,True
217.33,2018-06-23,16886,884,1,2,1,2018-07-23,True
9982.51,2019-11-06,49984,250,8,2,1,2019-12-06,True
7408.45,2022-10-30,62615,3,3,2,2,2022-11-29,True
9498.08,2022-09-13,14229,651,9,2,3,2022-10-13,True
9953.43,2018-10-16,52177,94,7,2,3,2018-11-15,True
2402.86,2021-12-22,8029,522,5,1,2,2022-01-21,True
9615.77,2022-04-10,28922,481,3,2,1,2022-05-10,True
4329.91,2018-07-05,69420,233,7,2,3,2018-08-04,False
509.04,2019-07-27,70812,148,4,2,1,2019-08-26,False
2341.82,2023-02-27,34364,698,9,1,1,2023-03-29,True
5658.02,2020-02-12,43204,393,7,2,3,2020-03-13,True
9407.37,2022-05-13,36795,687,7,1,1,2022-06-12,False
331.26,2020-01-06,97027,441,7,2,2,2020-02-05,True
4145.15,2018-12-10,63343,980,7,2,2,2019-01-09,True
8298.69,2020-02-08,36956,739,7,2,1,2020-03-09,False
4828.76,2020-04-18,69229,442,5,1,2,2020-05-18,False
426.78,2020-11-21,9424,150,5,2,3,2020-12-21,False
1343.63,2019-11-08,86001,637,4,1,2,2019-12-08,True
1435.13,2018-09-20,16959,116,6,2,3,2018-10-20,True
6539.06,2020-06-19,21615,137,4,1,3,2020-07-19,True
8537.04,2022-10-28,61462,657,2,1,2,2022-11-27,True
3863.53,2020-07-31,61774,140,6,2,1,2020-08-30,True
2001.31,2021-08-14,86802,281,3,2,2,2021-09-13,True
2709.01,2022-02-14,67503,558,3,2,3,2022-03-16,True
1950.49,2018-08-22,79371,351,4,1,1,2018-09-21,False
4393.25,2021-02-02,34497,479,3,1,2,2021-03-04,True
8459.16,2021-01-24,43009,20,7,2,3,2021-02-23,True
6531.09,2022-10-27,91598,166,3,1,1,2022-11-26,False
5227.26,2020-10-10,75439,995,1,2,2,2020-11-09,True
7870.69,2023-02-13,29720,826,9,2,2,2023-03-15,True
2456.22,2019-07-07,38607,482,5,2,2,2019-08-06,False
3104.05,2020-01-27,77127,696,2,1,2,2020-02-26,False
8848.54,2019-01-15,97088,660,9,1,1,2019-02-14,False
2641.32,2020-06-09,24627,353,6,1,2,2020-07-09,True
8884.26,2019-01-12,61815,54,8,2,1,2019-02-11,False
5194.77,2021-01-26,69756,588,8,2,1,2021-02-25,True
1369.22,2020-10-28,11931,132,4,2,3,2020-11-27,False
2405.23,2020-01-09,16161,859,7,1,1,2020-02-08,False
3912.17,2019-12-07,47440,377,7,2,2,2020-01-06,True
3306.34,2019-09-03,34606,306,6,2,3,2019-10-03,True
7852.64,2021-03-17,14107,348,3,1,2,2021-04-16,True
4714.01,2019-06-19,90651,234,1,1,3,2019-07-19,True
6707.45,2019-06-01,98435,913,8,2,1,2019-07-01,False
8257.59,2020-10-18,17503,773,1,2,3,2020-11-17,False
7766.37,2022-05-27,63486,99,3,2,1,2022-06-26,True
1333.24,2020-09-10,33076,767,9,1,1,2020-10-10,True
8908.52,2019-09-07,79809,107,6,2,3,2019-10-07,False
5291.35,2020-05-14,90791,209,6,1,1,2020-06-13,False
2143.85,2019-04-11,93365,469,2,1,3,2019-05-11,True
249.42,2019-03-17,18293,905,6,2,2,2019-04-16,True
6253.69,2019-02-14,43850,726,4,2,2,2019-03-16,False
4753.36,2022-04-07,35068,285,5,2,3,2022-05-07,False
540.13,2018-05-09,61393,343,1,1,2,2018-06-08,False
9795.85,2021-01-03,27382,59,6,2,2,2021-02-02,True
8024.96,2020-10-16,85414,712,9,2,3,2020-11-15,True
6476.64,2020-02-05,13798,754,9,1,3,2020-03-06,True
9791.84,2023-01-28,1729,486,6,1,3,2023-02-27,False
9826.81,2021-12-12,66101,901,3,1,2,2022-01-11,False
732.39,2019-04-21,7678,197,9,2,3,2019-05-21,False
3093.2,2022-08-03,73315,729,5,2,1,2022-09-02,False
1097.38,2021-01-17,69696,86,6,1,3,2021-02-16,True
2671.98,2018-07-24,5439,522,2,2,3,2018-08-23,False
3248.56,2018-10-30,73381,297,7,2,3,2018-11-29,True
9625.78,2019-06-21,34591,890,1,1,1,2019-07-21,False
3090.82,2018-10-11,8453,160,7,1,2,2018-11-10,False
5937.5,2019-06-18,6235,388,4,1,3,2019-07-18,False
303.35,2021-03-31,56580,31,7,1,1,2021-04-30,True
9094.14,2021-10-13,44069,343,4,2,2,2021-11-12,True
408.61,2019-02-14,73662,219,1,1,3,2019-03-16,True
675.67,2019-02-06,18242,534,9,2,3,2019-03-08,False
7083.96,2021-08-01,72560,488,8,1,3,2021-08-31,False
9540.81,2019-05-24,11373,460,1,2,1,2019-06-23,False
411.76,2018-05-20,53068,550,4,2,3,2018-06-19,False
8362.05,2022-10-20,54397,679,7,2,1,2022-11-19,False
5238.21,2022-09-08,60744,383,5,2,2,2022-10-08,True
3298.17,2019-02-28,4233,206,6,1,2,2019-03-30,True
9320.97,2022-06-25,66150,273,2,1,3,2022-07-25,False
1810.12,2022-04-16,227,188,2,1,1,2022-05-16,False
1221.24,2021-04-24,38051,660,9,1,1,2021-05-24,False
7886.08,2020-07-29,75831,674,8,2,1,2020-08-28,False
5011.4,2018-05-27,11713,135,2,1,2,2018-06-26,False
4780.43,2021-08-05,89799,856,7,1,2,2021-09-04,False
371.6,2023-01-15,84722,740,9,2,1,2023-02-14,True
5841.24,2019-03-06,11651,367,9,1,3,2019-04-05,False
4558.95,2018-11-03,63793,417,5,1,1,2018-12-03,False
1216.71,2019-08-25,18332,376,6,2,3,2019-09-24,True
1797.48,2020-07-22,59465,596,9,1,2,2020-08-21,True
740.39,2023-02-25,31839,804,5,2,2,2023-03-27,True
9610.86,2019-01-12,35888,450,9,2,3,2019-02-11,True
9348.42,2020-07-26,70558,101,3,2,3,2020-08-25,False
5016.57,2021-07-08,68842,630,2,2,3,2021-08-07,True
1340.07,2018-03-28,44300,626,4,1,3,2018-04-27,False
3163.02,2020-09-01,39432,962,6,2,3,2020-10-01,False
2478.03,2020-06-29,71758,376,9,2,1,2020-07-29,False
5717.04,2021-07-18,51267,366,6,2,1,2021-08-17,False
9002.13,2020-07-01,49809,549,6,2,1,2020-07-31,True
1621.77,2021-06-24,86689,484,3,2,2,2021-07-24,False
5106.47,2019-10-07,61005,772,8,2,2,2019-11-06,False
9682.21,2019-10-15,60771,75,9,1,3,2019-11-14,False
3595.14,2020-06-09,88,83,4,1,3,2020-07-09,True
8108.91,2020-03-21,77204,517,3,1,2,2020-04-20,True
7271.94,2023-03-26,51988,102,2,1,1,2023-04-25,True
8150.1,2021-12-06,82150,82,6,2,3,2022-01-05,True
246.45,2019-09-20,43734,217,3,1,3,2019-10-20,True
2715.04,2018-06-27,95182,661,4,2,1,2018-07-27,True
815.74,2022-06-22,88477,945,3,2,1,2022-07-22,False
6762.42,2022-01-29,62006,186,4,2,1,2022-02-28,True
7288.93,2022-09-06,30884,890,4,1,2,2022-10-06,True
5625.46,2022-03-12,50767,827,7,2,1,2022-04-11,True
4113.26,2023-03-14,74956,760,8,2,3,2023-04-13,False
4011.2,2020-01-06,12751,912,2,1,3,2020-02-05,False
5968.33,2019-05-12,36507,869,5,2,1,2019-06-11,False
635.85,2019-01-11,9938,272,2,2,2,2019-02-10,False
7699.85,2021-02-04,18374,587,3,2,3,2021-03-06,True
9730.46,2020-02-18,92221,516,5,2,3,2020-03-19,False
5596.82,2021-10-24,90730,580,3,1,1,2021-11-23,False
4875.94,2018-08-26,12397,700,3,2,2,2018-09-25,True
1280.3,2022-03-21,94922,654,5,2,1,2022-04-20,False
2242.71,2021-07-20,33802,609,4,1,1,2021-08-19,True
4506.01,2018-11-26,1231,149,7,1,2,2018-12-26,False
29.91,2023-03-02,20335,480,2,1,2,2023-04-01,False
6267.97,2021-01-26,78044,74,7,2,2,2021-02-25,False
950.17,2021-05-12,40351,658,7,1,2,2021-06-11,False
5745.18,2022-12-29,50863,712,9,1,2,2023-01-28,True
4349.5,2018-05-13,65410,270,2,2,1,2018-06-12,True
7249.33,2020-07-05,98466,608,6,1,3,2020-08-04,True
