amount,date,subscription_id,user_id,service_id,billing_cycle_id,status_id,next_payment_date,auto_renew,payment_id,payment_date,payment_method_id,status
2499.22,2021-08-27,96757,908,6,2,2,2021-09-26,True,96757,2021-08-27,1,Completed
2312.74,2020-03-09,82660,567,8,2,3,2020-04-08,True,82660,2020-03-09,1,Completed
8754.78,2021-08-09,89547,534,8,2,3,2021-09-08,False,89547,2021-08-09,1,Pending
3532.46,2021-11-13,88375,406,5,2,1,2021-12-13,True,88375,2021-11-13,3,Pending
1705.77,2022-04-26,21252,624,6,2,3,2022-05-26,True,21252,2022-04-26,1,Failed
8667.34,2021-04-25,96475,755,4,2,3,2021-05-25,False,96475,2021-04-25,2,Completed
6621.35,2022-01-19,46433,135,2,2,3,2022-02-18,True,46433,2022-01-19,3,Completed
7411.37,2020-08-05,14953,252,2,1,1,2020-09-04,False,14953,2020-08-05,3,Failed
6918.43,2018-05-22,5874,849,1,1,1,2018-06-21,False,5874,2018-05-22,2,Failed
8914.41,2020-06-10,53638,837,4,1,2,2020-07-10,False,53638,2020-06-10,4,Failed
833.63,2021-05-15,95187,74,8,1,2,2021-06-14,False,95187,2021-05-15,1,Pending
5778.79,2021-01-02,48616,774,1,2,3,2021-02-01,False,48616,2021-01-02,1,Failed
7703.75,2023-02-03,70319,637,1,1,1,2023-03-05,False,70319,2023-02-03,3,Pending
8605.99,2022-11-13,29529,538,3,1,3,2022-12-13,True,29529,2022-11-13,3,Failed
7693.2,2019-05-29,76656,864,8,1,3,2019-06-28,False,76656,2019-05-29,4,Completed
1062.24,2021-03-17,11926,357,7,1,1,2021-04-16,False,11926,2021-03-17,2,Completed
8882.74,2021-11-27,15791,422,1,2,1,2021-12-27,True,15791,2021-11-27,3,Pending
9316.99,2022-12-24,82493,43,3,2,1,2023-01-23,True,82493,2022-12-24,4,Completed
4190.22,2021-05-23,83844,471,4,2,1,2021-06-22,False,83844,2021-05-23,2,Completed
2441.28,2019-07-28,38086,675,8,1,2,2019-08-27,False,38086,2019-07-28,3,Failed
9228.75,2021-01-11,8477,562,5,1,2,2021-02-10,True,8477,2021-01-11,4,Pending
3015.9,2018-05-26,42514,304,4,2,2,2018-06-25,True,42514,2018-05-26,2,Completed
5756.34,2020-04-09,31253,567,4,1,1,2020-05-09,False,31253,2020-04-09,4,Failed
9438.98,2022-02-19,51693,856,9,1,1,2022-03-21,False,51693,2022-02-19,3,Completed
860.29,2023-02-10,7094,425,4,1,1,2023-03-12,False,7094,2023-02-10,1,Failed
8878.47,2022-10-15,74751,471,2,1,3,2022-11-14,False,74751,2022-10-15,2,Completed
3595.28,2022-07-21,90550,677,7,2,2,2022-08-20,False,90550,2022-07-21,2,Completed
9991.23,2021-05-07,61191,889,4,1,3,2021-06-06,False,61191,2021-05-07,4,Completed
3772.29,2021-01-24,2187,38,6,1,3,2021-02-23,False,2187,2021-01-24,1,Pending
8046.49,2020-03-16,35885,746,2,1,1,2020-04-15,True,35885,2020-03-16,4,Failed
5069.08,2020-08-15,22343,138,1,1,3,2020-09-14,False,22343,2020-08-15,4,Failed
7939.92,2018-08-12,46536,989,3,1,2,2018-09-11,False,46536,2018-08-12,1,Failed
6706.36,2019-03-16,67737,502,6,1,2,2019-04-15,False,67737,2019-03-16,3,Failed
2891.3,2023-02-19,33912,543,5,1,1,2023-03-21,False,33912,2023-02-19,1,Pending
1178.61,2022-10-09,891,594,1,2,3,2022-11-08,True,891,2022-10-09,2,Pending
6030.31,2018-10-09,15928,589,4,1,3,2018-11-08,True,15928,2018-10-09,3,Completed
8002.45,2022-10-11,80439,110,3,1,2,2022-11-10,False,80439,2022-10-11,4,Failed
4283.71,2020-12-23,10946,416,9,1,1,2021-01-22,True,10946,2020-12-23,1,Failed
3955.09,2020-07-15,44527,25,3,1,3,2020-08-14,True,44527,2020-07-15,4,Completed
63.78,2019-02-07,36513,344,8,1,1,2019-03-09,True,36513,2019-02-07,1,Pending
4139.15,2022-01-11,68754,981,1,2,3,2022-02-10,True,68754,2022-01-11,3,Pending
4759.69,2018-07-30,18455,239,6,1,1,2018-08-29,True,18455,2018-07-30,4,Completed
4348.54,2022-10-06,81116,791,4,2,1,2022-11-05,True,81116,2022-10-06,4,Completed
8227.36,2020-09-29,3047,929,4,2,3,2020-10-29,True,3047,2020-09-29,3,Pending
8768.64,2022-09-24,21907,141,4,2,3,2022-10-24,False,21907,2022-09-24,3,Completed
2325.07,2020-02-05,47394,125,1,2,3,2020-03-06,True,47394,2020-02-05,1,Failed
3362.64,2022-02-09,26822,455,8,2,3,2022-03-11,False,26822,2022-02-09,4,Completed
6879.61,2022-03-10,13621,273,6,1,3,2022-04-09,True,13621,2022-03-10,3,Failed
7654.35,2021-09-22,15870,235,5,1,2,2021-10-22,True,15870,2021-09-22,1,Failed
442.63,2018-05-31,68933,39,2,1,1,2018-06-30,False,68933,2018-05-31,3,Pending
5288.82,2023-03-27,54465,640,4,1,2,2023-04-26,False,54465,2023-03-27,1,Completed
237.78,2019-10-09,23110,542,9,2,2,2019-11-08,True,23110,2019-10-09,3,Completed
4115.53,2022-12-14,10184,813,3,2,1,2023-01-13,False,10184,2022-12-14,4,Failed
2255.77,2021-05-24,10459,499,5,2,3,2021-06-23,True,10459,2021-05-24,2,Pending
6996.6,2020-09-16,62751,15,5,2,1,2020-10-16,False,62751,2020-09-16,2,Failed
5696.87,2018-05-14,27754,401,5,1,2,2018-06-13,True,27754,2018-05-14,2,Failed
9592.29,2022-01-27,32651,123,2,2,3,2022-02-26,False,32651,2022-01-27,4,Pending
9215.36,2019-08-05,40753,333,4,2,1,2019-09-04,True,40753,2019-08-05,4,Pending
8554.86,2021-12-02,9062,989,3,2,2,2022-01-01,False,9062,2021-12-02,4,Failed
6807.1,2018-05-31,24061,231,6,1,3,2018-06-30,True,24061,2018-05-31,2,Pending
481.19,2023-03-27,7541,783,9,1,2,2023-04-26,False,7541,2023-03-27,3,Failed
2381.3,2019-04-13,39874,478,1,2,3,2019-05-13,True,39874,2019-04-13,2,Completed
1439.04,2022-11-25,1681,178,4,2,3,2022-12-25,True,1681,2022-11-25,4,Pending
3624.66,2020-09-11,56660,192,1,1,1,2020-10-11,False,56660,2020-09-11,1,Completed
1253.79,2020-09-21,27481,513,5,1,1,2020-10-21,True,27481,2020-09-21,1,Completed
2408.3,2020-12-09,54448,159,4,2,2,2021-01-08,False,54448,2020-12-09,3,Pending
4713.98,2021-11-28,99256,186,9,1,3,2021-12-28,False,99256,2021-11-28,2,Pending
4981.67,2020-05-07,16162,16,9,1,1,2020-06-06,False,16162,2020-05-07,2,Failed
978.46,2021-06-25,69959,299,9,1,2,2021-07-25,True,69959,2021-06-25,4,Completed
1509.04,2022-04-14,98727,672,7,1,2,2022-05-14,True,98727,2022-04-14,4,Failed
4612.56,2022-02-24,24089,996,9,1,1,2022-03-26,False,24089,2022-02-24,4,Completed
3935.56,2021-01-05,75241,537,2,1,1,2021-02-04,False,75241,2021-01-05,2,Completed
4193.65,2019-12-31,97203,109,3,1,1,2020-01-30,False,97203,2019-12-31,1,Completed
7234.75,2020-01-22,31632,789,7,1,1,2020-02-21,False,31632,2020-01-22,1,Failed
3764.03,2020-01-30,30577,778,3,2,3,2020-02-29,True,30577,2020-01-30,2,Failed
7591.97,2022-08-29,83454,740,2,1,3,2022-09-28,False,83454,2022-08-29,2,Failed
5977.85,2019-04-26,82572,588,9,2,3,2019-05-26,False,82572,2019-04-26,4,Pending
7782.84,2020-07-21,34385,50,2,2,3,2020-08-20,True,34385,2020-07-21,3,Completed
5896.62,2018-08-15,95767,115,7,1,2,2018-09-14,False,95767,2018-08-15,3,Pending
4244.41,2018-07-05,6848,687,1,1,3,2018-08-04,True,6848,2018-07-05,3,Pending
3457.47,2019-04-29,49795,470,1,2,1,2019-05-29,False,49795,2019-04-29,1,Pending
1490.56,2019-03-08,88390,56,3,2,2,2019-04-07,False,88390,2019-03-08,3,Pending
3370.81,2019-06-08,476,371,3,2,3,2019-07-08,True,476,2019-06-08,1,Failed
7528.9,2018-10-28,42910,846,6,2,2,2018-11-27,True,42910,2018-10-28,3,Completed
4992.42,2019-10-21,12767,819,8,1,1,2019-11-20,True,12767,2019-10-21,2,Pending
3461.13,2018-12-27,44837,59,6,2,1,2019-01-26,False,44837,2018-12-27,3,Completed
6793.84,2021-07-21,49133,298,6,1,2,2021-08-20,True,49133,2021-07-21,1,Failed
4726.47,2021-01-18,75585,252,7,1,2,2021-02-17,False,75585,2021-01-18,2,Failed
3317.95,2023-01-24,70882,922,1,1,3,2023-02-23,False,70882,2023-01-24,4,Pending
7370.34,2019-07-05,41280,544,1,1,2,2019-08-04,False,41280,2019-07-05,4,Pending
7626.49,2019-11-22,57898,265,9,2,2,2019-12-22,False,57898,2019-11-22,4,Completed
7933.11,2021-12-26,94092,249,8,2,1,2022-01-25,True,94092,2021-12-26,1,Failed
3720.54,2019-10-30,56408,785,1,1,1,2019-11-29,True,56408,2019-10-30,4,Pending
8801.95,2019-03-19,84533,874,9,2,3,2019-04-18,False,84533,2019-03-19,1,Failed
8194.21,2023-01-26,13059,763,1,2,3,2023-02-25,False,13059,2023-01-26,1,Pending
3007.91,2020-09-24,13146,740,4,1,1,2020-10-24,False,13146,2020-09-24,3,Failed
7764.68,2019-12-01,54658,307,8,2,2,2019-12-31,True,54658,2019-12-01,3,Failed
2055.06,2021-12-13,95589,644,7,1,2,2022-01-12,False,95589,2021-12-13,4,Pending
2981.02,2022-02-04,83641,537,3,1,2,2022-03-06,False,83641,2022-02-04,4,Completed
1804.35,2021-01-18,41806,901,5,1,1,2021-02-17,True,41806,2021-01-18,1,Failed
4057.43,2020-08-31,90626,320,8,2,3,2020-09-30,True,90626,2020-08-31,2,Completed
9868.34,2020-11-19,91888,876,7,2,3,2020-12-19,False,91888,2020-11-19,2,Failed
3384.87,2020-05-19,14626,144,2,1,3,2020-06-18,True,14626,2020-05-19,3,Failed
9797.19,2022-04-09,56119,374,7,2,1,2022-05-09,False,56119,2022-04-09,2,Pending
5906.71,2022-12-25,8809,16,6,1,2,2023-01-24,False,8809,2022-12-25,1,Pending
7141.88,2020-08-25,35480,362,5,1,1,2020-09-24,True,35480,2020-08-25,4,Pending
5946.12,2022-08-10,71589,353,1,1,1,2022-09-09,False,71589,2022-08-10,4,Failed
1876.79,2020-08-06,62734,751,6,2,1,2020-09-05,True,62734,2020-08-06,2,Failed
1239.85,2019-01-25,68157,115,3,2,2,2019-02-24,True,68157,2019-01-25,1,Pending
1808.07,2019-02-02,51666,437,2,2,2,2019-03-04,True,51666,2019-02-02,3,Pending
9589.8,2019-09-03,74666,478,5,2,3,2019-10-03,True,74666,2019-09-03,1,Failed
5036.25,2021-08-11,9463,682,3,2,1,2021-09-10,False,9463,2021-08-11,4,Completed
2716.07,2022-04-22,88070,764,1,1,3,2022-05-22,True,88070,2022-04-22,2,Pending
9472.89,2020-03-06,36674,555,2,2,2,2020-04-05,True,36674,2020-03-06,1,Pending
1879.73,2023-02-09,53021,202,4,1,2,2023-03-11,False,53021,2023-02-09,4,Failed
7189.8,2020-04-18,26081,984,7,1,2,2020-05-18,False,26081,2020-04-18,4,Pending
6414.1,2019-06-14,99234,427,8,2,1,2019-07-14,True,99234,2019-06-14,3,Pending
6923.98,2020-02-19,48671,734,5,2,3,2020-03-20,False,48671,2020-02-19,3,Failed
8873.34,2021-08-13,6989,769,9,2,3,2021-09-12,True,6989,2021-08-13,2,Completed
8090.16,2018-11-08,24959,729,1,1,3,2018-12-08,True,24959,2018-11-08,1,Completed
7747.16,2021-11-19,15180,153,2,1,3,2021-12-19,True,15180,2021-11-19,4,Failed
3026.77,2021-02-08,45614,163,3,2,3,2021-03-10,True,45614,2021-02-08,2,Failed
8759.21,2021-10-26,46412,578,8,1,3,2021-11-25,False,46412,2021-10-26,2,Pending
1765.72,2018-04-09,49297,602,5,1,3,2018-05-09,True,49297,2018-04-09,3,Completed
6998.38,2020-07-31,27942,643,1,1,2,2020-08-30,False,27942,2020-07-31,2,Pending
3120.91,2020-07-04,81812,822,2,1,3,2020-08-03,True,81812,2020-07-04,1,Completed
8464.55,2020-07-25,83079,102,2,1,1,2020-08-24,True,83079,2020-07-25,4,Pending
5608.46,2020-12-14,99144,484,3,2,2,2021-01-13,True,99144,2020-12-14,1,Completed
7435.55,2019-09-15,32902,348,8,1,1,2019-10-15,True,32902,2019-09-15,3,Completed
7318.32,2021-09-18,52487,595,5,1,2,2021-10-18,True,52487,2021-09-18,1,Completed
1447.47,2020-04-01,75795,737,5,1,3,2020-05-01,True,75795,2020-04-01,3,Completed
4741.39,2020-10-30,83409,479,9,2,1,2020-11-29,True,83409,2020-10-30,4,Completed
4591.56,2020-10-10,68314,704,5,2,3,2020-11-09,False,68314,2020-10-10,2,Completed
6053.13,2019-09-18,39153,312,5,1,3,2019-10-18,False,39153,2019-09-18,2,Failed
8906.8,2018-04-20,33985,868,1,2,2,2018-05-20,True,33985,2018-04-20,1,Failed
6872.0,2020-09-26,11650,741,4,2,1,2020-10-26,True,11650,2020-09-26,1,Pending
6778.98,2019-05-14,38533,730,9,2,3,2019-06-13,True,38533,2019-05-14,1,Pending
4934.89,2020-08-09,35010,662,1,1,2,2020-09-08,True,35010,2020-08-09,1,Pending
9308.35,2022-03-28,92661,142,5,1,2,2022-04-27,True,92661,2022-03-28,4,Failed
9171.23,2020-08-04,85278,287,5,2,2,2020-09-03,True,85278,2020-08-04,4,Completed
2016.02,2022-11-07,26351,942,5,1,1,2022-12-07,False,26351,2022-11-07,2,Pending
2656.16,2022-04-07,90820,385,9,1,2,2022-05-07,False,90820,2022-04-07,4,Pending
3881.1,2022-04-05,71376,892,1,2,1,2022-05-05,False,71376,2022-04-05,4,Failed
721.08,2019-07-28,56070,616,3,1,2,2019-08-27,True,56070,2019-07-28,2,Pending
6371.85,2022-09-17,71715,242,6,2,2,2022-10-17,True,71715,2022-09-17,2,Failed
8694.33,2022-04-22,15069,929,7,1,1,2022-05-22,True,15069,2022-04-22,1,Completed
9443.05,2021-01-08,1195,549,4,1,3,2021-02-07,True,1195,2021-01-08,2,Completed
7331.16,2018-10-12,5993,569,9,1,2,2018-11-11,True,5993,2018-10-12,2,Failed
2985.39,2021-05-23,19618,82,1,2,3,2021-06-22,True,19618,2021-05-23,4,Pending
7682.61,2019-01-02,16667,17,1,2,1,2019-02-01,False,16667,2019-01-02,1,Completed
691.15,2019-08-01,42305,914,8,1,2,2019-08-31,False,42305,2019-08-01,1,Pending
4949.52,2020-09-23,89256,657,7,2,3,2020-10-23,False,89256,2020-09-23,1,Completed
2870.5,2020-05-13,60413,720,7,1,3,2020-06-12,False,60413,2020-05-13,4,Completed
1093.9,2019-04-06,89155,575,8,1,1,2019-05-06,True,89155,2019-04-06,4,Failed
7082.0,2020-02-27,65413,856,7,2,1,2020-03-28,False,65413,2020-02-27,3,Failed
1379.35,2022-12-29,61234,177,5,2,3,2023-01-28,False,61234,2022-12-29,2,Completed
5646.79,2022-12-09,74430,186,7,1,3,2023-01-08,True,74430,2022-12-09,2,Completed
1868.79,2018-07-18,35236,757,8,1,1,2018-08-17,False,35236,2018-07-18,2,Completed
9719.02,2018-09-13,48310,443,1,2,1,2018-10-13,True,48310,2018-09-13,4,Pending
6411.68,2021-04-02,76409,148,1,2,3,2021-05-02,False,76409,2021-04-02,1,Pending
1331.5,2020-02-16,21122,456,8,1,3,2020-03-17,True,21122,2020-02-16,1,Pending
8588.47,2019-09-03,44161,55,3,2,2,2019-10-03,False,44161,2019-09-03,2,Completed
7579.19,2021-01-14,773,153,5,2,3,2021-02-13,False,773,2021-01-14,2,Pending
756.4,2022-02-21,4284,571,8,2,1,2022-03-23,False,4284,2022-02-21,4,Failed
8877.27,2019-04-17,20987,16,8,2,3,2019-05-17,False,20987,2019-04-17,3,Failed
658.78,2022-05-26,59201,712,4,1,1,2022-06-25,True,59201,2022-05-26,4,Completed
8988.97,2018-09-24,90385,112,3,1,1,2018-10-24,True,90385,2018-09-24,3,Pending
7665.46,2021-07-02,51401,388,9,1,1,2021-08-01,False,51401,2021-07-02,2,Completed
4502.19,2020-07-09,72432,591,8,2,2,2020-08-08,True,72432,2020-07-09,1,Failed
2336.19,2021-08-28,36947,958,5,2,3,2021-09-27,True,36947,2021-08-28,1,Failed
8415.64,2020-08-18,22143,159,2,2,1,2020-09-17,True,22143,2020-08-18,1,Pending
6590.43,2019-10-21,84979,666,3,2,1,2019-11-20,True,84979,2019-10-21,2,Failed
6299.81,2021-05-08,28510,455,7,1,2,2021-06-07,False,28510,2021-05-08,3,Pending
7554.55,2019-03-12,31145,90,4,1,2,2019-04-11,True,31145,2019-03-12,1,Failed
327.41,2022-12-21,7741,298,1,1,1,2023-01-20,False,7741,2022-12-21,2,Pending
2115.0,2019-05-24,60831,990,3,1,1,2019-06-23,True,60831,2019-05-24,1,Failed
381.97,2021-06-06,7207,130,9,2,2,2021-07-06,True,7207,2021-06-06,2,Pending
4474.54,2018-05-05,92915,400,4,2,3,2018-06-04,False,92915,2018-05-05,2,Failed
7784.01,2019-12-24,66182,649,2,1,1,2020-01-23,False,66182,2019-12-24,2,Completed
3144.6,2019-11-06,50951,614,9,2,2,2019-12-06,False,50951,2019-11-06,2,Completed
7865.15,2023-01-08,61713,938,1,2,1,2023-02-07,True,61713,2023-01-08,4,Failed
5450.5,2020-05-03,89103,740,4,2,2,2020-06-02,False,89103,2020-05-03,2,Completed
4321.25,2021-02-24,86,81,8,1,3,2021-03-26,False,86,2021-02-24,3,Pending
2722.55,2018-07-14,50316,268,3,1,1,2018-08-13,False,50316,2018-07-14,2,Completed
2836.85,2023-02-10,23288,738,8,1,3,2023-03-12,True,23288,2023-02-10,1,Failed
6718.04,2018-12-26,3203,806,1,1,2,2019-01-25,True,3203,2018-12-26,3,Failed
4958.3,2019-03-01,16442,146,8,2,2,2019-03-31,True,16442,2019-03-01,1,Pending
24.11,2019-04-10,15422,372,9,1,1,2019-05-10,True,15422,2019-04-10,1,Failed
1456.02,2020-02-03,72390,132,7,1,1,2020-03-04,True,72390,2020-02-03,1,Failed
8784.09,2019-03-26,68425,602,1,1,2,2019-04-25,False,68425,2019-03-26,1,Pending
2137.11,2022-10-08,77320,343,8,2,1,2022-11-07,True,77320,2022-10-08,4,Completed
9927.4,2020-09-30,59878,419,4,1,2,2020-10-30,False,59878,2020-09-30,3,Completed
3094.65,2018-11-20,47810,405,9,1,2,2018-12-20,False,47810,2018-11-20,3,Completed
3740.54,2020-02-06,4125,946,5,1,3,2020-03-07,True,4125,2020-02-06,3,Completed
5522.36,2019-09-08,82623,361,8,1,2,2019-10-08,False,82623,2019-09-08,1,Completed
5816.22,2023-02-19,22002,624,5,2,1,2023-03-21,True,22002,2023-02-19,2,Completed
40.92,2019-08-03,79011,338,4,2,2,2019-09-02,True,79011,2019-08-03,2,Pending
4196.77,2021-08-16,3380,760,7,1,2,2021-09-15,True,3380,2021-08-16,1,Failed
5835.48,2022-05-04,18306,468,5,1,3,2022-06-03,True,18306,2022-05-04,2,Failed
7401.74,2019-04-03,56336,28,2,2,1,2019-05-03,True,56336,2019-04-03,1,Failed
799.4,2019-03-05,11728,627,7,2,3,2019-04-04,True,11728,2019-03-05,4,Completed
3066.71,2019-10-22,69534,804,3,2,3,2019-11-21,True,69534,2019-10-22,3,Pending
9500.18,2022-11-15,52553,288,3,1,1,2022-12-15,True,52553,2022-11-15,4,Failed
8217.77,2021-04-17,7246,271,8,1,2,2021-05-17,False,7246,2021-04-17,2,Failed
1683.44,2022-10-23,53871,637,9,2,2,2022-11-22,False,53871,2022-10-23,2,Pending
9984.65,2019-03-23,1323,745,6,1,2,2019-04-22,True,1323,2019-03-23,1,Failed
5779.03,2020-07-30,54564,750,6,2,2,2020-08-29,False,54564,2020-07-30,3,Completed
8038.66,2019-10-24,62191,948,3,1,2,2019-11-23,True,62191,2019-10-24,3,Pending
8552.26,2020-04-09,46675,818,9,2,1,2020-05-09,False,46675,2020-04-09,1,Pending
9568.84,2022-02-09,21968,793,1,2,1,2022-03-11,True,21968,2022-02-09,2,Pending
4668.18,2021-02-23,63003,633,7,2,1,2021-03-25,False,63003,2021-02-23,3,Failed
4017.6,2021-10-28,86623,768,8,2,2,2021-11-27,True,86623,2021-10-28,3,Completed
638.01,2020-10-22,90819,162,7,1,2,2020-11-21,False,90819,2020-10-22,3,Completed
319.2,2021-08-23,19512,185,8,1,2,2021-09-22,False,19512,2021-08-23,2,Completed
7965.3,2021-09-24,96440,691,4,2,3,2021-10-24,True,96440,2021-09-24,3,Pending
1669.52,2020-06-11,56473,17,4,2,1,2020-07-11,True,56473,2020-06-11,4,Failed
5358.93,2022-09-19,92445,786,7,1,2,2022-10-19,False,92445,2022-09-19,3,Completed
3640.75,2018-07-21,1187,627,2,2,1,2018-08-20,False,1187,2018-07-21,1,Completed
1475.43,2022-07-03,25019,96,7,2,3,2022-08-02,False,25019,2022-07-03,1,Failed
5634.65,2018-05-02,84454,505,4,2,2,2018-06-01,False,84454,2018-05-02,3,Pending
6267.97,2021-01-26,78044,74,7,2,2,2021-02-25,False,78044,2021-01-26,4,Pending
126.12,2020-01-13,74417,433,5,2,1,2020-02-12,False,74417,2020-01-13,3,Failed
8390.74,2018-12-06,75082,628,6,2,1,2019-01-05,True,75082,2018-12-06,1,Completed
3220.68,2021-02-09,91813,676,4,2,3,2021-03-11,True,91813,2021-02-09,4,Completed
2614.42,2022-12-08,85316,236,7,1,2,2023-01-07,False,85316,2022-12-08,1,Failed
7153.27,2021-11-19,72784,582,2,2,3,2021-12-19,True,72784,2021-11-19,1,Pending
7911.34,2021-02-12,82088,428,5,2,1,2021-03-14,True,82088,2021-02-12,4,Pending
1193.98,2021-05-18,15982,56,9,2,3,2021-06-17,True,15982,2021-05-18,3,Completed
8859.56,2021-06-13,67165,479,5,2,2,2021-07-13,False,67165,2021-06-13,1,Completed
9059.95,2019-11-10,89477,162,3,1,1,2019-12-10,True,89477,2019-11-10,3,Failed
9233.47,2020-04-18,42182,38,2,1,1,2020-05-18,False,42182,2020-04-18,2,Pending
6577.76,2018-12-27,28353,152,3,2,3,2019-01-26,False,28353,2018-12-27,1,Failed
7596.24,2020-04-02,40396,806,7,1,3,2020-05-02,True,40396,2020-04-02,4,Completed
2854.45,2020-02-15,55441,104,4,1,1,2020-03-16,False,55441,2020-02-15,1,Pending
3031.53,2022-05-14,88415,136,1,2,2,2022-06-13,False,88415,2022-05-14,1,Pending
4989.13,2023-01-24,6262,561,6,1,3,2023-02-23,True,6262,2023-01-24,4,Completed
3466.38,2018-09-11,4260,306,8,2,3,2018-10-11,True,4260,2018-09-11,1,Pending
2936.16,2021-11-11,23738,981,8,2,1,2021-12-11,True,23738,2021-11-11,2,Completed
5266.96,2021-07-01,89636,174,4,1,1,2021-07-31,False,89636,2021-07-01,1,Failed
5077.83,2019-11-18,45093,81,2,2,3,2019-12-18,False,45093,2019-11-18,4,Pending
8962.17,2023-02-14,14529,613,9,1,2,2023-03-16,False,14529,2023-02-14,1,Pending
9954.68,2022-08-26,38007,735,1,1,3,2022-09-25,False,38007,2022-08-26,1,Failed
2012.37,2021-09-15,93573,768,4,2,3,2021-10-15,False,93573,2021-09-15,4,Completed
8675.15,2022-12-18,98856,103,9,1,3,2023-01-17,False,98856,2022-12-18,1,Failed
1199.31,2020-03-03,40874,113,5,2,3,2020-04-02,True,40874,2020-03-03,4,Pending
5109.29,2022-01-23,2011,67,7,2,1,2022-02-22,False,2011,2022-01-23,1,Failed
6541.64,2022-03-14,36364,893,5,2,2,2022-04-13,True,36364,2022-03-14,4,Pending
5736.29,2019-01-13,71856,280,8,1,2,2019-02-12,True,71856,2019-01-13,1,Failed
1576.01,2019-08-01,89838,68,4,2,1,2019-08-31,True,89838,2019-08-01,4,Failed
2598.92,2018-07-12,24008,490,2,1,1,2018-08-11,False,24008,2018-07-12,3,Pending
9852.24,2018-07-24,65571,458,3,2,3,2018-08-23,True,65571,2018-07-24,2,Failed
247.44,2018-07-27,22514,642,2,1,1,2018-08-26,False,22514,2018-07-27,2,Completed
7468.84,2019-10-18,85021,519,1,1,1,2019-11-17,False,85021,2019-10-18,1,Failed
1570.69,2020-08-24,72917,642,7,2,1,2020-09-23,False,72917,2020-08-24,4,Failed
4300.73,2020-09-25,96629,559,5,1,2,2020-10-25,True,96629,2020-09-25,2,Pending
5901.06,2022-12-04,33653,419,2,1,3,2023-01-03,True,33653,2022-12-04,4,Failed
7922.81,2019-06-30,63985,22,1,2,1,2019-07-30,False,63985,2019-06-30,1,Completed
3993.07,2020-03-27,65162,308,5,1,3,2020-04-26,True,65162,2020-03-27,1,Completed
