payment_id,subscription_id,amount,date,payment_date,payment_method_id,status
4294,4294,319.5,2018-12-21,2018-12-21,3,Completed
69103,69103,6581.15,2022-12-12,2022-12-12,3,Completed
86412,86412,5416.92,2020-05-19,2020-05-19,2,Failed
99477,99477,9270.04,2023-03-01,2023-03-01,2,Failed
53930,53930,1093.28,2020-12-30,2020-12-30,4,Failed
87071,87071,2812.67,2021-03-18,2021-03-18,4,Completed
65084,65084,4901.43,2020-10-12,2020-10-12,1,Pending
30713,30713,245.16,2018-05-29,2018-05-29,2,Pending
49183,49183,3949.17,2020-05-21,2020-05-21,3,Completed
57235,57235,2578.51,2022-08-14,2022-08-14,2,Failed
15664,15664,1130.88,2020-02-02,2020-02-02,4,Pending
19967,19967,1927.08,2018-06-03,2018-06-03,1,Pending
91913,91913,2785.36,2021-05-20,2021-05-20,2,Failed
91958,91958,7809.4,2022-02-25,2022-02-25,1,Failed
81347,81347,4426.9,2023-01-26,2023-01-26,1,Completed
55326,55326,2746.85,2018-08-10,2018-08-10,1,Pending
29858,29858,3005.56,2019-05-12,2019-05-12,4,Failed
71223,71223,6756.09,2020-01-06,2020-01-06,3,Failed
52459,52459,7078.47,2023-01-06,2023-01-06,1,Pending
88346,88346,6448.11,2021-05-09,2021-05-09,2,Completed
82364,82364,1572.59,2021-09-06,2021-09-06,2,Failed
65350,65350,1640.47,2019-04-29,2019-04-29,1,Completed
59650,59650,7951.9,2018-04-13,2018-04-13,2,Failed
44953,44953,7349.1,2020-02-03,2020-02-03,3,Failed
39526,39526,8837.26,2021-04-15,2021-04-15,4,Pending
13936,13936,5591.83,2022-11-12,2022-11-12,2,Pending
93781,93781,2797.94,2019-08-03,2019-08-03,4,Completed
89885,89885,9034.7,2020-11-26,2020-11-26,4,Failed
81144,81144,7247.53,2019-10-29,2019-10-29,1,Completed
95800,95800,9775.26,2019-02-09,2019-02-09,1,Pending
89405,89405,4643.44,2020-09-01,2020-09-01,3,Pending
55224,55224,7219.39,2021-02-25,2021-02-25,3,Pending
73646,73646,9932.79,2019-04-23,2019-04-23,2,Failed
66294,66294,8033.76,2020-10-28,2020-10-28,3,Completed
65540,65540,7130.82,2022-07-19,2022-07-19,1,Pending
28111,28111,2952.92,2018-09-15,2018-09-15,3,Completed
41929,41929,6446.03,2020-08-06,2020-08-06,4,Failed
86547,86547,7176.7,2019-01-24,2019-01-24,3,Failed
82586,82586,6992.64,2019-10-22,2019-10-22,2,Completed
38604,38604,4983.89,2019-12-09,2019-12-09,4,Failed
91658,91658,8401.26,2019-03-07,2019-03-07,2,Completed
62787,62787,6217.16,2018-09-26,2018-09-26,1,Failed
84341,84341,4060.8,2020-09-05,2020-09-05,2,Failed
39875,39875,4099.85,2022-02-04,2022-02-04,3,Completed
78469,78469,443.55,2021-03-06,2021-03-06,4,Failed
31632,31632,7234.75,2020-01-22,2020-01-22,1,Failed
14953,14953,7411.37,2020-08-05,2020-08-05,3,Failed
39332,39332,6498.77,2022-02-16,2022-02-16,1,Completed
48588,48588,2247.35,2022-02-02,2022-02-02,3,Failed
83595,83595,830.27,2018-08-02,2018-08-02,3,Failed
41488,41488,5170.33,2019-01-10,2019-01-10,1,Pending
39628,39628,9906.06,2018-08-27,2018-08-27,4,Completed
87895,87895,4622.09,2020-12-02,2020-12-02,3,Pending
26304,26304,4157.19,2020-05-04,2020-05-04,1,Failed
67404,67404,9830.87,2018-09-20,2018-09-20,4,Completed
98085,98085,2296.88,2023-03-09,2023-03-09,3,Failed
95602,95602,4435.28,2021-05-07,2021-05-07,1,Failed
5020,5020,8189.92,2018-10-21,2018-10-21,3,Pending
5224,5224,4487.1,2020-06-06,2020-06-06,2,Pending
15781,15781,8312.55,2018-12-15,2018-12-15,3,Pending
45557,45557,7439.93,2020-09-16,2020-09-16,3,Failed
12897,12897,1364.24,2020-10-15,2020-10-15,4,Pending
34305,34305,5189.67,2020-01-01,2020-01-01,4,Completed
93323,93323,4097.02,2022-11-25,2022-11-25,2,Failed
5325,5325,1030.95,2020-06-06,2020-06-06,4,Failed
52926,52926,5477.62,2019-01-31,2019-01-31,3,Failed
62865,62865,1193.39,2020-10-31,2020-10-31,3,Failed
8019,8019,8223.17,2022-04-20,2022-04-20,1,Completed
82945,82945,2054.53,2019-04-07,2019-04-07,2,Failed
90377,90377,8353.12,2019-09-15,2019-09-15,3,Failed
41721,41721,9939.9,2020-01-31,2020-01-31,3,Completed
867,867,4494.35,2021-11-18,2021-11-18,4,Failed
98444,98444,8324.54,2020-12-17,2020-12-17,3,Failed
83040,83040,4608.91,2020-07-30,2020-07-30,1,Completed
13925,13925,7410.93,2022-07-12,2022-07-12,2,Pending
79893,79893,9605.93,2018-11-22,2018-11-22,3,Failed
31184,31184,5269.13,2022-11-05,2022-11-05,1,Pending
13800,13800,583.21,2018-10-17,2018-10-17,4,Failed
40989,40989,5071.42,2022-09-09,2022-09-09,2,Pending
66734,66734,2185.11,2022-10-12,2022-10-12,3,Pending
78331,78331,4219.55,2019-03-25,2019-03-25,2,Pending
24379,24379,5397.72,2020-08-20,2020-08-20,3,Pending
23415,23415,7536.51,2019-07-18,2019-07-18,2,Failed
97560,97560,6425.01,2022-12-02,2022-12-02,2,Pending
22993,22993,4221.42,2019-10-03,2019-10-03,1,Completed
3232,3232,8748.64,2022-07-02,2022-07-02,1,Pending
41996,41996,2020.26,2018-07-08,2018-07-08,1,Failed
49188,49188,1289.39,2022-04-20,2022-04-20,1,Completed
22515,22515,6391.79,2019-07-31,2019-07-31,4,Failed
21326,21326,3543.32,2018-04-12,2018-04-12,3,Completed
86234,86234,415.53,2019-11-18,2019-11-18,2,Pending
88127,88127,9806.35,2020-08-17,2020-08-17,4,Completed
29824,29824,8606.3,2018-06-22,2018-06-22,2,Completed
92485,92485,5151.66,2022-09-21,2022-09-21,3,Pending
68425,68425,8784.09,2019-03-26,2019-03-26,1,Pending
64484,64484,1388.66,2019-10-09,2019-10-09,4,Completed
51020,51020,1449.75,2022-07-03,2022-07-03,3,Pending
26754,26754,2748.36,2023-02-13,2023-02-13,2,Pending
49964,49964,3671.29,2023-01-31,2023-01-31,1,Pending
42732,42732,3859.98,2022-10-04,2022-10-04,1,Failed
29057,29057,5810.39,2022-05-21,2022-05-21,2,Pending
55318,55318,1841.22,2021-12-01,2021-12-01,3,Failed
35497,35497,9343.66,2019-06-28,2019-06-28,3,Failed
56338,56338,8090.04,2019-07-22,2019-07-22,1,Pending
79278,79278,524.21,2020-02-13,2020-02-13,3,Completed
5465,5465,9231.92,2022-01-12,2022-01-12,1,Completed
70156,70156,8118.9,2021-02-13,2021-02-13,3,Pending
70670,70670,9914.26,2020-12-30,2020-12-30,2,Failed
56014,56014,4536.7,2022-05-18,2022-05-18,4,Failed
12086,12086,3956.86,2023-01-15,2023-01-15,4,Completed
56819,56819,5420.41,2018-09-22,2018-09-22,3,Pending
20001,20001,4576.32,2022-02-09,2022-02-09,2,Pending
69067,69067,9201.53,2021-06-15,2021-06-15,4,Failed
50453,50453,1553.81,2018-03-31,2018-03-31,3,Failed
90710,90710,5583.84,2020-07-14,2020-07-14,1,Failed
52885,52885,4221.77,2022-07-15,2022-07-15,2,Failed
30964,30964,1930.07,2022-01-21,2022-01-21,2,Failed
34574,34574,8899.75,2018-07-07,2018-07-07,2,Completed
15295,15295,4139.07,2018-04-28,2018-04-28,4,Completed
27919,27919,5173.29,2019-09-16,2019-09-16,1,Pending
46121,46121,1532.11,2020-12-19,2020-12-19,3,Completed
35074,35074,7782.38,2018-06-26,2018-06-26,4,Completed
10551,10551,5404.55,2018-11-04,2018-11-04,1,Completed
91128,91128,9272.94,2020-05-12,2020-05-12,4,Failed
691,691,443.14,2019-10-18,2019-10-18,2,Pending
77730,77730,5047.51,2022-01-27,2022-01-27,2,Completed
36097,36097,1680.01,2022-11-02,2022-11-02,2,Pending
65352,65352,6024.23,2021-08-08,2021-08-08,2,Pending
11041,11041,1345.2,2021-09-10,2021-09-10,3,Failed
4222,4222,3738.98,2020-03-27,2020-03-27,4,Failed
822,822,1195.5,2018-07-19,2018-07-19,4,Pending
38129,38129,7975.35,2019-08-10,2019-08-10,3,Completed
89152,89152,7249.72,2020-09-18,2020-09-18,1,Failed
29232,29232,1840.49,2018-04-15,2018-04-15,2,Failed
50557,50557,6268.4,2021-11-24,2021-11-24,4,Failed
33685,33685,8529.18,2022-07-28,2022-07-28,2,Completed
58754,58754,5040.75,2022-08-10,2022-08-10,1,Pending
27023,27023,894.9,2020-12-08,2020-12-08,3,Completed
36906,36906,7310.77,2022-11-02,2022-11-02,1,Failed
271,271,7190.84,2022-10-17,2022-10-17,1,Pending
8867,8867,2016.29,2019-10-11,2019-10-11,2,Failed
15007,15007,7472.06,2018-12-26,2018-12-26,3,Pending
4689,4689,5736.03,2020-12-19,2020-12-19,2,Pending
81996,81996,2589.34,2020-03-01,2020-03-01,4,Pending
84373,84373,3641.86,2021-08-14,2021-08-14,2,Pending
2515,2515,5693.07,2020-11-25,2020-11-25,4,Completed
36400,36400,9614.29,2023-01-18,2023-01-18,3,Failed
38869,38869,8072.4,2022-11-01,2022-11-01,4,Completed
58245,58245,1406.49,2019-07-25,2019-07-25,3,Completed
30410,30410,9423.24,2021-06-25,2021-06-25,4,Failed
54795,54795,9315.47,2021-07-13,2021-07-13,4,Pending
19264,19264,2578.86,2020-01-10,2020-01-10,1,Pending
83910,83910,5573.56,2018-10-05,2018-10-05,3,Completed
26974,26974,6594.52,2021-02-13,2021-02-13,1,Pending
7130,7130,3285.8,2022-10-11,2022-10-11,4,Pending
7145,7145,3493.3,2019-01-12,2019-01-12,4,Completed
45466,45466,6743.78,2023-01-19,2023-01-19,3,Pending
1967,1967,3698.23,2019-08-10,2019-08-10,2,Pending
15153,15153,3701.34,2018-10-25,2018-10-25,4,Pending
19114,19114,1540.7,2022-02-13,2022-02-13,1,Failed
76207,76207,2705.43,2021-12-04,2021-12-04,1,Pending
32142,32142,1791.8,2019-06-27,2019-06-27,4,Completed
21935,21935,9163.63,2023-01-06,2023-01-06,2,Pending
40360,40360,7540.76,2022-11-28,2022-11-28,2,Pending
53842,53842,4034.13,2019-12-31,2019-12-31,2,Failed
9163,9163,6858.39,2023-03-17,2023-03-17,2,Completed
87844,87844,2677.66,2021-10-19,2021-10-19,2,Pending
37630,37630,196.14,2018-06-29,2018-06-29,2,Pending
83305,83305,9850.79,2023-01-17,2023-01-17,1,Pending
66270,66270,2679.59,2018-06-02,2018-06-02,1,Completed
34654,34654,9776.64,2018-12-10,2018-12-10,2,Failed
41963,41963,1536.91,2019-09-27,2019-09-27,2,Failed
39591,39591,569.83,2021-03-11,2021-03-11,3,Completed
81036,81036,3192.76,2020-10-04,2020-10-04,2,Pending
10981,10981,1607.11,2019-10-12,2019-10-12,4,Failed
56300,56300,1349.17,2021-04-17,2021-04-17,2,Failed
61549,61549,9761.43,2019-07-03,2019-07-03,2,Completed
88401,88401,4629.16,2018-08-30,2018-08-30,2,Failed
44324,44324,5447.38,2021-01-09,2021-01-09,3,Pending
55208,55208,2877.4,2022-07-16,2022-07-16,4,Pending
53528,53528,329.78,2020-08-30,2020-08-30,1,Pending
26971,26971,5510.57,2020-07-24,2020-07-24,1,Completed
73218,73218,6649.61,2022-12-31,2022-12-31,3,Failed
65891,65891,1371.48,2020-12-14,2020-12-14,2,Failed
42222,42222,7703.92,2021-03-08,2021-03-08,2,Failed
97866,97866,7090.83,2021-03-30,2021-03-30,3,Failed
12251,12251,5602.64,2020-05-04,2020-05-04,1,Failed
69437,69437,1515.12,2020-11-10,2020-11-10,1,Completed
38433,38433,6254.57,2020-10-02,2020-10-02,4,Pending
40890,40890,8754.5,2021-06-24,2021-06-24,1,Completed
30999,30999,8232.16,2023-02-14,2023-02-14,2,Failed
56146,56146,2361.75,2022-11-01,2022-11-01,1,Failed
95414,95414,8286.72,2022-09-21,2022-09-21,2,Completed
22156,22156,9571.07,2023-02-19,2023-02-19,1,Pending
17614,17614,3574.16,2020-03-16,2020-03-16,2,Pending
56444,56444,2422.28,2022-03-12,2022-03-12,1,Pending
98400,98400,6159.41,2020-10-01,2020-10-01,3,Failed
24053,24053,3628.09,2019-09-19,2019-09-19,4,Failed
50243,50243,3493.79,2022-11-08,2022-11-08,1,Failed
58999,58999,2202.73,2018-04-27,2018-04-27,2,Pending
31345,31345,3252.18,2018-12-31,2018-12-31,3,Failed
61242,61242,4705.57,2020-10-30,2020-10-30,3,Failed
92530,92530,6561.75,2020-04-09,2020-04-09,1,Completed
80829,80829,7848.11,2021-10-04,2021-10-04,1,Pending
51726,51726,5861.67,2019-06-06,2019-06-06,2,Failed
33880,33880,2891.29,2021-03-09,2021-03-09,3,Failed
83007,83007,6325.5,2020-05-14,2020-05-14,3,Completed
73909,73909,3512.32,2018-10-14,2018-10-14,2,Completed
67247,67247,7022.51,2021-12-06,2021-12-06,2,Completed
88808,88808,7458.79,2019-07-17,2019-07-17,1,Failed
13122,13122,900.73,2018-12-16,2018-12-16,1,Pending
8258,8258,447.52,2019-05-12,2019-05-12,4,Failed
93381,93381,5749.71,2020-07-14,2020-07-14,1,Completed
13915,13915,6120.47,2021-01-31,2021-01-31,2,Pending
30903,30903,1680.42,2023-01-13,2023-01-13,3,Completed
72859,72859,4386.34,2018-05-23,2018-05-23,3,Pending
20293,20293,2507.08,2020-05-24,2020-05-24,2,Completed
58171,58171,6287.4,2022-03-01,2022-03-01,4,Pending
20950,20950,6970.61,2021-04-14,2021-04-14,3,Pending
36695,36695,8932.25,2022-03-21,2022-03-21,1,Completed
8526,8526,2259.14,2019-05-07,2019-05-07,4,Pending
78272,78272,4485.94,2018-08-24,2018-08-24,1,Pending
77403,77403,3334.88,2018-09-29,2018-09-29,4,Pending
77652,77652,8598.36,2019-08-20,2019-08-20,3,Completed
99837,99837,4324.39,2019-02-15,2019-02-15,4,Failed
92272,92272,3743.06,2020-01-26,2020-01-26,1,Pending
29776,29776,8269.67,2019-08-15,2019-08-15,2,Failed
34808,34808,7460.82,2021-01-19,2021-01-19,3,Failed
16886,16886,217.33,2018-06-23,2018-06-23,3,Failed
49984,49984,9982.51,2019-11-06,2019-11-06,1,Failed
62615,62615,7408.45,2022-10-30,2022-10-30,3,Failed
14229,14229,9498.08,2022-09-13,2022-09-13,2,Pending
52177,52177,9953.43,2018-10-16,2018-10-16,4,Pending
8029,8029,2402.86,2021-12-22,2021-12-22,1,Failed
28922,28922,9615.77,2022-04-10,2022-04-10,4,Completed
69420,69420,4329.91,2018-07-05,2018-07-05,2,Failed
70812,70812,509.04,2019-07-27,2019-07-27,3,Completed
34364,34364,2341.82,2023-02-27,2023-02-27,4,Failed
43204,43204,5658.02,2020-02-12,2020-02-12,4,Completed
36795,36795,9407.37,2022-05-13,2022-05-13,3,Failed
97027,97027,331.26,2020-01-06,2020-01-06,3,Completed
63343,63343,4145.15,2018-12-10,2018-12-10,1,Completed
36956,36956,8298.69,2020-02-08,2020-02-08,1,Failed
69229,69229,4828.76,2020-04-18,2020-04-18,1,Pending
9424,9424,426.78,2020-11-21,2020-11-21,3,Failed
86001,86001,1343.63,2019-11-08,2019-11-08,4,Pending
16959,16959,1435.13,2018-09-20,2018-09-20,2,Completed
21615,21615,6539.06,2020-06-19,2020-06-19,2,Failed
61462,61462,8537.04,2022-10-28,2022-10-28,2,Completed
61774,61774,3863.53,2020-07-31,2020-07-31,1,Failed
86802,86802,2001.31,2021-08-14,2021-08-14,3,Pending
67503,67503,2709.01,2022-02-14,2022-02-14,1,Failed
79371,79371,1950.49,2018-08-22,2018-08-22,3,Completed
34497,34497,4393.25,2021-02-02,2021-02-02,4,Failed
43009,43009,8459.16,2021-01-24,2021-01-24,2,Completed
91598,91598,6531.09,2022-10-27,2022-10-27,1,Pending
75439,75439,5227.26,2020-10-10,2020-10-10,1,Failed
29720,29720,7870.69,2023-02-13,2023-02-13,3,Pending
38607,38607,2456.22,2019-07-07,2019-07-07,2,Failed
77127,77127,3104.05,2020-01-27,2020-01-27,2,Pending
97088,97088,8848.54,2019-01-15,2019-01-15,3,Failed
24627,24627,2641.32,2020-06-09,2020-06-09,3,Pending
61815,61815,8884.26,2019-01-12,2019-01-12,3,Failed
69756,69756,5194.77,2021-01-26,2021-01-26,2,Completed
11931,11931,1369.22,2020-10-28,2020-10-28,4,Completed
16161,16161,2405.23,2020-01-09,2020-01-09,3,Failed
47440,47440,3912.17,2019-12-07,2019-12-07,2,Failed
34606,34606,3306.34,2019-09-03,2019-09-03,4,Failed
14107,14107,7852.64,2021-03-17,2021-03-17,3,Failed
90651,90651,4714.01,2019-06-19,2019-06-19,3,Pending
98435,98435,6707.45,2019-06-01,2019-06-01,3,Completed
17503,17503,8257.59,2020-10-18,2020-10-18,4,Pending
63486,63486,7766.37,2022-05-27,2022-05-27,1,Pending
33076,33076,1333.24,2020-09-10,2020-09-10,1,Failed
79809,79809,8908.52,2019-09-07,2019-09-07,3,Pending
90791,90791,5291.35,2020-05-14,2020-05-14,1,Pending
93365,93365,2143.85,2019-04-11,2019-04-11,1,Completed
18293,18293,249.42,2019-03-17,2019-03-17,2,Failed
43850,43850,6253.69,2019-02-14,2019-02-14,3,Completed
35068,35068,4753.36,2022-04-07,2022-04-07,2,Failed
61393,61393,540.13,2018-05-09,2018-05-09,4,Pending
27382,27382,9795.85,2021-01-03,2021-01-03,2,Completed
85414,85414,8024.96,2020-10-16,2020-10-16,2,Completed
13798,13798,6476.64,2020-02-05,2020-02-05,1,Failed
1729,1729,9791.84,2023-01-28,2023-01-28,2,Failed
66101,66101,9826.81,2021-12-12,2021-12-12,4,Failed
7678,7678,732.39,2019-04-21,2019-04-21,3,Pending
73315,73315,3093.2,2022-08-03,2022-08-03,2,Completed
69696,69696,1097.38,2021-01-17,2021-01-17,3,Failed
5439,5439,2671.98,2018-07-24,2018-07-24,4,Completed
73381,73381,3248.56,2018-10-30,2018-10-30,4,Pending
34591,34591,9625.78,2019-06-21,2019-06-21,1,Failed
8453,8453,3090.82,2018-10-11,2018-10-11,3,Pending
6235,6235,5937.5,2019-06-18,2019-06-18,3,Completed
56580,56580,303.35,2021-03-31,2021-03-31,3,Failed
44069,44069,9094.14,2021-10-13,2021-10-13,1,Pending
73662,73662,408.61,2019-02-14,2019-02-14,2,Pending
18242,18242,675.67,2019-02-06,2019-02-06,3,Failed
72560,72560,7083.96,2021-08-01,2021-08-01,2,Completed
11373,11373,9540.81,2019-05-24,2019-05-24,3,Completed
53068,53068,411.76,2018-05-20,2018-05-20,4,Failed
54397,54397,8362.05,2022-10-20,2022-10-20,2,Failed
60744,60744,5238.21,2022-09-08,2022-09-08,3,Failed
4233,4233,3298.17,2019-02-28,2019-02-28,2,Pending
66150,66150,9320.97,2022-06-25,2022-06-25,4,Completed
227,227,1810.12,2022-04-16,2022-04-16,3,Completed
38051,38051,1221.24,2021-04-24,2021-04-24,2,Pending
75831,75831,7886.08,2020-07-29,2020-07-29,1,Pending
11713,11713,5011.4,2018-05-27,2018-05-27,1,Pending
89799,89799,4780.43,2021-08-05,2021-08-05,3,Pending
84722,84722,371.6,2023-01-15,2023-01-15,4,Completed
11651,11651,5841.24,2019-03-06,2019-03-06,1,Completed
63793,63793,4558.95,2018-11-03,2018-11-03,3,Completed
18332,18332,1216.71,2019-08-25,2019-08-25,4,Pending
59465,59465,1797.48,2020-07-22,2020-07-22,4,Pending
31839,31839,740.39,2023-02-25,2023-02-25,3,Failed
35888,35888,9610.86,2019-01-12,2019-01-12,1,Completed
70558,70558,9348.42,2020-07-26,2020-07-26,2,Failed
68842,68842,5016.57,2021-07-08,2021-07-08,2,Failed
44300,44300,1340.07,2018-03-28,2018-03-28,3,Completed
39432,39432,3163.02,2020-09-01,2020-09-01,4,Completed
71758,71758,2478.03,2020-06-29,2020-06-29,1,Completed
51267,51267,5717.04,2021-07-18,2021-07-18,4,Pending
49809,49809,9002.13,2020-07-01,2020-07-01,4,Pending
86689,86689,1621.77,2021-06-24,2021-06-24,2,Completed
61005,61005,5106.47,2019-10-07,2019-10-07,3,Completed
60771,60771,9682.21,2019-10-15,2019-10-15,2,Failed
88,88,3595.14,2020-06-09,2020-06-09,2,Pending
77204,77204,8108.91,2020-03-21,2020-03-21,4,Completed
51988,51988,7271.94,2023-03-26,2023-03-26,1,Pending
82150,82150,8150.1,2021-12-06,2021-12-06,2,Failed
43734,43734,246.45,2019-09-20,2019-09-20,4,Failed
95182,95182,2715.04,2018-06-27,2018-06-27,4,Pending
88477,88477,815.74,2022-06-22,2022-06-22,3,Pending
62006,62006,6762.42,2022-01-29,2022-01-29,2,Completed
30884,30884,7288.93,2022-09-06,2022-09-06,3,Completed
50767,50767,5625.46,2022-03-12,2022-03-12,2,Completed
74956,74956,4113.26,2023-03-14,2023-03-14,1,Completed
12751,12751,4011.2,2020-01-06,2020-01-06,3,Failed
36507,36507,5968.33,2019-05-12,2019-05-12,2,Failed
9938,9938,635.85,2019-01-11,2019-01-11,2,Completed
18374,18374,7699.85,2021-02-04,2021-02-04,4,Failed
92221,92221,9730.46,2020-02-18,2020-02-18,3,Pending
90730,90730,5596.82,2021-10-24,2021-10-24,4,Pending
12397,12397,4875.94,2018-08-26,2018-08-26,1,Pending
94922,94922,1280.3,2022-03-21,2022-03-21,2,Completed
33802,33802,2242.71,2021-07-20,2021-07-20,4,Pending
1231,1231,4506.01,2018-11-26,2018-11-26,1,Pending
20335,20335,29.91,2023-03-02,2023-03-02,4,Failed
78044,78044,6267.97,2021-01-26,2021-01-26,4,Pending
40351,40351,950.17,2021-05-12,2021-05-12,2,Failed
50863,50863,5745.18,2022-12-29,2022-12-29,2,Failed
65410,65410,4349.5,2018-05-13,2018-05-13,3,Completed
98466,98466,7249.33,2020-07-05,2020-07-05,3,Failed
83943,83943,2518.32,2019-03-10,2019-03-10,2,Completed
35641,35641,8001.91,2020-12-17,2020-12-17,1,Failed
76610,76610,1146.29,2019-08-12,2019-08-12,2,Failed
1046,1046,8092.23,2020-11-05,2020-11-05,3,Completed
97796,97796,7591.61,2021-11-28,2021-11-28,2,Failed
5938,5938,7241.81,2018-12-25,2018-12-25,2,Pending
57688,57688,8624.57,2020-05-21,2020-05-21,2,Failed
7896,7896,2081.12,2020-01-27,2020-01-27,3,Completed
87485,87485,8012.25,2019-03-08,2019-03-08,1,Pending
17571,17571,1497.14,2022-01-26,2022-01-26,4,Pending
53065,53065,8101.65,2021-01-08,2021-01-08,4,Failed
11142,11142,9627.15,2022-02-12,2022-02-12,1,Failed
96937,96937,4738.99,2018-09-02,2018-09-02,1,Failed
50491,50491,9344.67,2020-05-29,2020-05-29,2,Pending
33223,33223,836.69,2020-06-28,2020-06-28,2,Pending
